Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,LED-WHITE1206,D1 D2 D3 D4 D5,WHITE,LED-1206,5, ,
2,,FRAME-LETTER,FRAME1,FRAME-LETTER,CREATIVE_COMMONS,1, ,
3,,SEWTAP6,LED+1 LED+2 LED+3 LED+4 LED+5 LED-1 LED-2 LED-3 LED-4 LED-5,SEWTAP6,PETAL-SMALL-2SIDE,10, ,
4,,150OHM-1/10W-1%(0603),R1 R2 R3 R4 R5,150,0603-RES,5, ,
5,,REVISION,U$6,REVISION,REVISION,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-06_12-56-04
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,5
Component Count:,22 (0 SMD/ 0 THT)
Fitted Components:,22 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,22
