Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x04,J2,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical_silk_inside,1, ,~
2,,Grove-I2C-connector,J1,Grove-I2C-connector,NS-Tech_Grove_1x04_P2mm_Vertical_silk_inside,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-02_17-08-41
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,2
Component Count:,2 (0 SMD/ 2 THT)
Fitted Components:,2 (0 SMD/ 2 THT)
Number of PCBs:,1
Total Components:,2
