Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,1.0UF-0603-16V-10%,C1 C2 C3,1.0UF-0603-16V-10%,0603,3, ,
2,,2.2UF-0603-10V-20%,C4,2.2UF-0603-10V-20%,0603,1, ,
3,,DIODE-BAS16J,D3,DIODE-BAS16J,SOD-323,1, ,
4,,LED-GREEN0603,D2,GREEN,LED-0603,1, ,
5,,LED-IRSIDE_EMITTER,D1,LED-IRSIDE_EMITTER,LTE-302,1, ,
6,,FRAME-LETTER,FRAME1,FRAME-LETTER,CREATIVE_COMMONS,1, ,
7,,STAND-OFF,H1 H2,STAND-OFF,STAND-OFF,2, ,
8,,6_PIN_SERIAL_TARGETNO_SILK,J1,6_PIN_SERIAL_TARGETNO_SILK,1X06_NO_SILK,1, ,
9,,CONN_08NO_SILK_FEMALE_PTH,J2,CONN_08NO_SILK_FEMALE_PTH,1X08_NO_SILK,1, ,
10,,JUMPER-SMT_2_NO_NO-SILK,JP1,JUMPER-SMT_2_NO_NO-SILK,SMT-JUMPER_2_NO_NO-SILK,1, ,
11,,OSHW-LOGOS,LOGO1,OSHW-LOGOS,OSHW-LOGO-S,1, ,
12,,REVISION,LOGO3,REVISION,REVISION,1, ,
13,,SFE_LOGO_NAME_FLAME.1_INCH,LOGO2,SFE_LOGO_NAME_FLAME.1_INCH,SFE_LOGO_NAME_FLAME_.1,1, ,
14,,TRANS_NPN-MMBT2222AL,Q1,TRANS_NPN-MMBT2222AL,SOT23-3,1, ,
15,,10KOHM-0603-1/10W-1%,R1 R2 R4 R8,10KOHM-0603-1/10W-1%,0603,4, ,
16,,1KOHM-0603-1/10W-1%,R3 R5 R7,1KOHM-0603-1/10W-1%,0603,3, ,
17,,20OHM-0603-1/10W-1%,R6,20OHM-0603-1/10W-1%,0603,1, ,
18,,MOMENTARY-SWITCH-SPST-SMD-4.6X2.8MM,S1 S2,MOMENTARY-SWITCH-SPST-SMD-4.6X2.8MM,TACTILE_SWITCH_SMD_4.6X2.8MM,2, ,
19,,ESP-12S,U1,ESP-12S,ESP-12S,1, ,
20,,TSOP38238,U2,TSOP38238,TSOP382,1, ,
21,,V_REG_AP2112K-3.3V,U3,V_REG_AP2112K-3.3V,SOT23-5,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-06_12-56-02
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,21
Component Count:,30 (0 SMD/ 0 THT)
Fitted Components:,30 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,30
