Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,FRAME-LETTER,FRAME1,FRAME-LETTER,CREATIVE_COMMONS,1, ,
2,,M04PTH,JP1,M04PTH,1X04,1, ,
3,,SWITCH-MOMENTARY-LEDPTH,S1,SWITCH-MOMENTARY-LEDPTH,TACTILE-PTH-LED-12MM,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-06_12-56-04
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,3
Component Count:,3 (0 SMD/ 0 THT)
Fitted Components:,3 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,3
