Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,CAP0402-CAP,C2 C4,0.1uF,0402-CAP,2, ,
2,,CAP0402-CAP,C9 C10,4.7uF,0402-CAP,2, ,
3,,CH_passive_CAP1206,C1,10uF,1206,1, ,
4,,CH_passive_CAP0805,C3,22uF,0805,1, ,
5,,LED0603,D4,red,LED-0603,1, ,
6,,M02PTH,JP9,IN,1X02,1, ,
7,,LOGO-SFENEW,JP3,LOGO-SFENEW,SFE-NEW-WEBLOGO,1, ,
8,,LOGO-SFESK,JP4,LOGO-SFESK,SFE-LOGO-FLAME,1, ,
9,,M02-JST-2MM-SMT,JP1,LiPo,JST-2-SMD,1, ,
10,,M02PTH,JP12,LiPoIN,1X02,1, ,
11,,M01PTH,JP13 JP14,M01PTH,1X01,2, ,
12,,M02PTH,JP2,OUT,1X02,1, ,
13,,STAND-OFF,JP5 JP6 JP7 JP8,STAND-OFF,STAND-OFF,4, ,
14,,INDUCTOR.,L1,"4.7uH, 1.2A",CDRH2D09,1, ,
15,,RESISTOR0402-RES,R9,470,0402-RES,1, ,
16,,RESISTOR0402-RES,R5,2k,0402-RES,1, ,
17,,RESISTOR0402-RES,R2 R8,10k,0402-RES,2, ,
18,,RESISTOR0402-RES,R4 R6,220k,0402-RES,2, ,
19,,RESISTOR0402-RES,R1,1.2M,0402-RES,1, ,
20,,RESISTOR0402-RES,R3 R7,2M,0402-RES,2, ,
21,,MCP73831,U1,MCP73831,SOT23-5,1, ,
22,,TPS61200,U2,TPS61200,QFN-10_PAD,1, ,
23,,CREATIVE_COMMONS,U$2,CREATIVE_COMMONS,CREATIVE_COMMONS,1, ,
24,,OSHW-LOGOS,U$1,OSHW-LOGOS,OSHW-LOGO-S,1, ,
25,,USB-MICROB,X1,USB-MICROB,USB-MICROB,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-06_12-55-57
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,25
Component Count:,34 (0 SMD/ 0 THT)
Fitted Components:,34 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,34
