Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,CAP0402-CAP,C1 C2 C3 C10,0.1uF,0402-CAP,4, ,
2,,CAP_POL1206,C13 C19,10uF,EIA3216,2, ,
3,,LED0603,D3,Green,LED-0603,1, ,
4,,FRAME-LETTER,FRAME1,FRAME-LETTER,CREATIVE_COMMONS,1, ,
5,,ARDUINO_SERIAL_PROGRAMPTH,JP1,FTDI Basic,1X06,1, ,
6,,M01PTH,JP3 JP4,M01PTH,1X01,2, ,
7,,M02PTH,JP2,M02PTH,1X02,1, ,
8,,M12PTH,JP6 JP7,M12PTH,1X12,2, ,
9,,LED0603,LED1,Red,LED-0603,1, ,
10,,RESONATORSMD,Q1,RESONATORSMD,RESONATOR-SMD,1, ,
11,,RESISTOR0402-RES,R6,330,0402-RES,1, ,
12,,RESISTOR0402-RES,R2 R11,10K,0402-RES,2, ,
13,,RESISTOR0402-RES,R1 R3,RESISTOR0402-RES,0402-RES,2, ,
14,,TAC_SWITCHSMD,S2,Reset,TACTILE_SWITCH_SMD,1, ,
15,,ATMEGA168,U1,ATMEGA168,TQFP32-08,1, ,
16,,V_REG_LDOSMD,U2,V_REG_LDOSMD,SOT23-5,1, ,
17,,LOGO-SFESK,U$1,LOGO-SFESK,SFE-LOGO-FLAME,1, ,
18,,OSHW-LOGOS,U$3,OSHW-LOGOS,OSHW-LOGO-S,1, ,
19,,PRO_MINI_CANDY,U$2,PRO_MINI_CANDY,PRO_MINI_CANDY,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-06_12-56-13
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,19
Component Count:,27 (0 SMD/ 0 THT)
Fitted Components:,27 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,27
