Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,CAP_CERAMIC0805-NOOUTLINE,C1 C2,22uF,0805-NO,2, ,
2,,MPM3610,IC1,MPM3610,MPM3610,1, ,
3,,HEADER-1X4ROUND,JP1,HEADER-1X4ROUND,1X04_ROUND,1, ,
4,,RESISTOR_0603_NOOUT,R3,24K,0603-NO,1, ,
5,,RESISTOR_0603_NOOUT,R1 R2,75K,0603-NO,2, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-03_17-21-22
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,5
Component Count:,7 (0 SMD/ 0 THT)
Fitted Components:,7 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,7
