Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,HEADER-1X25,CONN1,HEADER-1X25,1X25_ROUND_70MIL,1, ,
2,,RESISTOR0805_NOOUTLINE,R1 R2 R3,3.9K,0805-NO,3, ,
3,,RASPBERRYPI_BPLUS_HATNOSLOTS,RPI1,RASPBERRYPI_BPLUS_HATNOSLOTS,PI_HAT_NOSLOTS,1, ,
4,,EEPROM_I2C_SOIC8_GENERIC,U1,CAT24C32,SOIC8_150MIL,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-03_17-21-23
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,4
Component Count:,6 (0 SMD/ 0 THT)
Fitted Components:,6 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,6
