Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,CAP_CERAMIC0805-NOOUTLINE,C1 C2,10uF,0805-NO,2, ,
2,,HEADER-1X570MIL,JP1,HEADER-1X570MIL,1X05_ROUND_70,1, ,
3,,MOSFET-NREFLOW,Q1 Q2,BSS138,SOT23,2, ,
4,,RESISTOR0805_NOOUTLINE,R1 R3 R4,10K,0805-NO,3, ,
5,,RESISTOR_0805MP,R2,10K,_0805MP,1, ,
6,,BMP180EXT,U3,BMP180,BMP180_EXTENDED,1, ,
7,,VREG_SOT23-5,U2,MIC5225-3.3,SOT23-5,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-02_17-08-32
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,7
Component Count:,11 (0 SMD/ 0 THT)
Fitted Components:,11 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,11
