Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,CAP_CERAMIC0805,C1 C2,1µF,0805,2, ,
2,,FERRITE0805,FB1 FB2,MMZ2012Y152B,0805,2, ,
3,,HEADER-1X1070MIL,JP1,HEADER-1X1070MIL,1X10_ROUND70,1, ,
4,,RESISTOR0805,R1 R2 R3 R4,10K,0805,4, ,
5,,ADC_ADS1015,U1,ADS1115IDGST,MSOP10,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-03_17-21-23
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,5
Component Count:,10 (0 SMD/ 0 THT)
Fitted Components:,10 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,10
