Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,Grove-I2C-connector,J2 J3,Grove-I2C-connector,NS-Tech_Grove_1x04_P2mm_Vertical,2, ,
2,,mini-bread-board-1x17x2,J1,mini-bread-board-1x17x2,mini-bread-board-1x17x2,1, ,
3,"Push button switch, generic, two pins",SW_Push,SW1,SW_Push,SW_PUSH_6mm,1, ,~
4,,Pico,U1,Pico,RPi_Pico_TH,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-02_17-08-42
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,4
Component Count:,5 (1 SMD/ 4 THT)
Fitted Components:,5 (1 SMD/ 4 THT)
Number of PCBs:,1
Total Components:,5
