Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,JOYSTICK_ANALOG_XY,JOY1,JOYSTICK_ANALOG_XY,JOYSTICK_ANALOG_MINITHM,1, ,
2,,RASPBERRYPI_BPLUS_BONNETSMT,RPI1,RASPBERRYPI_BPLUS_BONNETSMT,PI_BONNET_SMT,1, ,
3,,SWITCH_TACT_SMT_EVQQ2_SMALL,SW1 SW2 SW3 SW4 SW5 SW8,EVQQ,EVQ-Q2_SMALLER,6, ,
4,,ADC_ADS1015,U1,ADS1015,MSOP10,1, ,
5,,SWITCH_TACT_SMT4.6X2.8,UNK1 UNK2,KMR2,BTN_KMR2_4.6X2.8,2, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-03_17-21-22
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,5
Component Count:,11 (0 SMD/ 0 THT)
Fitted Components:,11 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,11
