Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,CAP_CERAMIC_0805,C3,0.1uF,_0805,1, ,
2,,CAP_CERAMIC_0805,C5,0.22µF,_0805,1, ,
3,,CAP_CERAMIC_0805,C2 C4,10µF,_0805,2, ,
4,,SEWTAP0.5IN,GND0 SCL1 SCL2 SDA1 SDA2 VCC0,SEWTAP0.5IN,SEWINGTAP_0.5,6, ,
5,,RESISTOR_0805,R2 R3,10K,_0805,2, ,
6,,LSM303DLHC,U1,LSM303DLHC,LGA14,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-02_17-08-33
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,6
Component Count:,13 (0 SMD/ 0 THT)
Fitted Components:,13 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,13
