Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,"oompID: CAPC-0603-X-PF20-V50;name: SMD (0603) 20 pF Capacitor (Ceramic) 50v;hexID: C6P20;{'code': 'C-JLCC', 'name': 'JLC Parts Library', 'partID': 'C1648', 'partName': '50V 20pF C0G ??5% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS'}{'dpnKey': 'DPN-C-LCSC-C1603', 'DISTRIBUTOR': 'LCSC', 'DISTRCODE': 'C-LCSC', 'DPN': 'C1603', 'MPN': 'MPN-C-SAMSUN-CL10B221KB8NNNC', 'TAGS': ['STOCK:100K'], 'LINK': 'https://www.lcsc.com/product-detail/C1603.html', 'OOMPID': 'CAPC-0603-X-PF20-V50'}{'dpnKey': 'DPN-C-LCSC-C1632', 'DISTRIBUTOR': 'LCSC', 'DISTRCODE': 'C-LCSC', 'DPN': 'C1632', 'MPN': 'MPN-C-FHGUAN-0603B821K500NT', 'TAGS': ['STOCK:1K'], 'LINK': 'https://www.lcsc.com/product-detail/C1632.html', 'OOMPID': 'CAPC-0603-X-PF20-V50'}{'dpnKey': 'DPN-C-LCSC-C1643', 'DISTRIBUTOR': 'LCSC', 'DISTRCODE': 'C-LCSC', 'DPN': 'C1643', 'MPN': 'MPN-C-FHGUAN-0603CG121J500NT', 'TAGS': ['STOCK:1K'], 'LINK': 'https://www.lcsc.com/product-detail/C1643.html', 'OOMPID': 'CAPC-0603-X-PF20-V50'}{'MPNKEY': 'MPN-C-SAMSUN-CL10B221KB8NNNC', 'MANUFACTURER': 'Samsung Electro-Mechanics', 'MANUCODE': 'C-SAMSUN', 'MPN': 'CL10B221KB8NNNC', 'OOMPIDPARTIAL': 'CAPC-0603-X-PF20-V50', 'OOMPID': 'CAPC-0603-X-PF20-V50', 'LINK': '', 'DESCRIPTION': '', 'TAGS': ['STOCK:100K']}{'MPNKEY': 'MPN-C-FHGUAN-0603B821K500NT', 'MANUFACTURER': 'FH (Guangdong Fenghua Advanced Tech)', 'MANUCODE': 'C-FHGUAN', 'MPN': '0603B821K500NT', 'OOMPIDPARTIAL': 'CAPC-0603-X-PF20-V50', 'OOMPID': 'CAPC-0603-X-PF20-V50', 'LINK': '', 'DESCRIPTION': '', 'TAGS': ['STOCK:1K']}{'MPNKEY': 'MPN-C-FHGUAN-0603CG121J500NT', 'MANUFACTURER': 'FH (Guangdong Fenghua Advanced Tech)', 'MANUCODE': 'C-FHGUAN', 'MPN': '0603CG121J500NT', 'OOMPIDPARTIAL': 'CAPC-0603-X-PF20-V50', 'OOMPID': 'CAPC-0603-X-PF20-V50', 'LINK': '', 'DESCRIPTION': '', 'TAGS': ['STOCK:1K']}Unpolarized capacitor",CAPC-0603-X-PF20-V50-C6P20,C?,CAPC-0603-X-PF20-V50-C6P20,CAPC-0603-X-PF20-V50-C6P20,1, ,oom.lt/C6P20
2,oompID: XTAL-5032-X-MZ16-01;name: SMD (5032) 16 MHz Crystal;hexID: XTAL5032-MZ16;Two pin crystal,XTAL-5032-X-MZ16-01-XTAL5032-MZ16,Y?,XTAL-5032-X-MZ16-01-XTAL5032-MZ16,XTAL-5032-X-MZ16-01-XTAL5032-MZ16,1, ,oom.lt/XTAL5032-MZ16





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-02_17-08-59
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,2
Component Count:,2 (0 SMD/ 0 THT)
Fitted Components:,2 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,2
