"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C20,C37,C22,C19,C26,C15,C28,C38,C23,C17,C24,C25,C13,C21,C27";"0603-CAP";15;"1.0uF";;;
2;"C4,C46,C44,C10,C18,C33,C43,C42,C45,C14,C16,C47,C5,C35,C40,C8,C41,C48,C39,C3";"0603-CAP";20;"0.1uF";;;
3;"R14";"0603-RES";1;"5.62k";;;
4;"LOGO2";"OSHW-LOGO-M";1;"OSHW-LOGOM";;;
5;"R29";"0603-RES";1;"1M";;;
6;"STANDOFF4,STANDOFF2,STANDOFF3,STANDOFF1";"STAND-OFF";4;"STAND-OFF";;;
7;"J7";"TP_15TH";1;"AIN3R";;;
8;"C7,C12,C11,C9,C36";"0603-CAP";5;"10uF";;;
9;"R6,R28,R5";"0603-RES";3;"10K";;;
10;"JP2";"2X13";1;"I/O";;;
11;"R12,R3,R11,R8,R24,R13,R4,R10,R23,R22,R9,R1,R2";"0603-RES";13;"100k";;;
12;"R15";"0603-RES";1;"15K";;;
13;"FD1,FD2";"MICRO-FIDUCIAL";2;"FIDUCIALUFIDUCIAL";;;
14;"J9";"TP_15TH";1;"3.3VA";;;
15;"Q1";"SOT23-3";1;"2.5A/30V";;;
16;"R26,R25";"0603-RES";2;"4.7K";;;
17;"J6";"TP_15TH";1;"AOUT5R";;;
18;"U1";"LQFP100";1;"ATSAMS70NXXA-AN";;;
19;"S1";"TACTILE-SWITCH-SMD";1;"RESET";;;
20;"TP1";"1X02_NO_SILK";1;"Trigger";;;
21;"S2";"TACTILE-PTH-SIDEEZ";1;"DNS";;;
22;"R17";"0603-RES";1;"2.2";;;
23;"L2,L1,L3";"0603";3;"470";;;
24;"J4";"TP_15TH";1;"AOUT4R";;;
25;"J12";"TP_15TH";1;"A4";;;
26;"C1,C2";"0603-CAP";2;"12pF";;;
27;"TP3";"1X04_NO_SILK";1;"SD TP";;;
28;"R16";"0603-RES";1;"22K";;;
29;"SJ1,SJ3,SJ2";"PAD-JUMPER-2-NC_BY_TRACE_YES_SILK";3;"JUMPER-PAD-2-NC_BY_TRACE";;;
30;"J8";"TP_15TH";1;"AIN3L";;;
31;"Y1";"CRYSTAL-SMD-5X3";1;"12MHz";;;
32;"J3";"TP_15TH";1;"AOUT4L";;;
33;"C6";"0603-CAP";1;"2.2uF";;;
34;"C30";"0603-CAP";1;"10nF";;;
35;"U3,U4";"SOT223";2;"LM1117";;;
36;"J1";"2X5-PTH-1.27MM";1;"CORTEX_DEBUGPTH";;;
37;"L4";"0805";1;"10uH";;;
38;"C29";"0603-CAP";1;"4.7uF";;;
39;"J2";"POWER_JACK_PTH_LOCK";1;"POWER_JACK DNS";;;
40;"D2";"SMA-DIODE";1;"MBRA140";;;
41;"JP4";"2X10";1;"AUDIO I/O";;;
42;"J10";"TP_15TH";1;"3.3V";;;
43;"J5";"TP_15TH";1;"AOUT5L";;;
44;"JP1";"USB-B-MICRO-SMD_V03";1;"USB-MICROB"";;;
45;"D1";"LED-0603";1;"BLUE";;;
46;"R27";"0603-RES";1;"33";;;
47;"R18,R19";"0603-RES";2;"240";;;
48;"J13";"TP_15TH";1;"A5";;;
49;"JP5";"MICRO-SD-SOCKET-SDIO";1;"USD-SDIO-SOCKET";;;
50;"R20,R21";"0603-RES";2;"390";;;
51;"LOGO1";"SFE_LOGO_NAME_FLAME_.2";1;"SFE_LOGO_NAME_FLAME.2_INCH";;;
52;"FRAME1";"CREATIVE_COMMONS";1;"FRAME-LEDGER";;;
53;"J11";"TP_15TH";1;"VIN";;;
54;"C34";"0603-CAP";1;"10pF";;;
55;"U2";"LQFP-48";1;"AK4618VQSFE-PACKAGE";;;
56;"TP2";"1X07_NO_SILK";1;"I2S TP";;;
57;"R7";"0603-RES";1;"330";;;
58;"LOGO3";"SFE_LOGO_NAME_.2";1;"SFE_LOGO_NAME.2_INCH";;;
