Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,CAP_CERAMIC0805,C1 C2,1µF,0805,2, ,
2,,HEADER-1X670MIL,JP1,HEADER-1X670MIL,1X06_ROUND_70,1, ,
3,,RESISTOR0805,R1 R2 R3 R4,10K,0805,4, ,
4,,MPL115A2,U1,MPL115A2T1,LGA8,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-03_17-21-22
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,4
Component Count:,8 (0 SMD/ 0 THT)
Fitted Components:,8 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,8
