Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,C-USC0603K,C1,1uF,C0603K,1, ,
2,,PINHD-1X3CB,JP1 JP2,PINHD-1X3CB,1X03-CLEANBIG,2, ,
3,,WS28115050,LED1,WS28115050,WS28115050,1, ,
4,,R-US_R0603,R2 R3,22,R0603,2, ,
5,,R-US_R0603,R1,1.0K,R0603,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-02_17-08-32
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,5
Component Count:,7 (0 SMD/ 0 THT)
Fitted Components:,7 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,7
