Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,M03PTH,JP4,M03PTH,1X03,1, ,
2,,RESISTOR0402-RES,R1,10K,0402-RES,1, ,
3,,TEMT6000,U1,TEMT6000,TEMT6000-SEN,1, ,
4,,LOGO-SFESK,U$1,LOGO-SFESK,SFE-LOGO-FLAME,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-06_12-55-58
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,4
Component Count:,4 (0 SMD/ 0 THT)
Fitted Components:,4 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,4
