Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,PROD_ID
1,,0.1UF-25V(+80/-20%)(0603),C1,.1uF,0603-CAP,1, ,,CAP-00810
2,,FRAME-LETTER,FRAME1,FRAME-LETTER,CREATIVE_COMMONS,1, ,,
3,,LOGO-SFESK,JP3,LOGO-SFESK,SFE-LOGO-FLAME,1, ,,
4,,M04PTH,JP1 JP2,M04PTH,1X04,2, ,,
5,,ADXL362ADXL362-1{colon}1,U1,ADXL362ADXL362-1{colon}1,ADXL362-1_1,1, ,,
6,,OSHW-LOGOS,U$1,OSHW-LOGOS,OSHW-LOGO-S,1, ,,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-06_12-55-58
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,6
Component Count:,7 (0 SMD/ 0 THT)
Fitted Components:,7 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,7
