Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,BOM
1,,CAP_CERAMIC0603_NO,C2 C7 C14,1uF,0603-NO,3, ,,
2,,CAP_CERAMIC0805-NOOUTLINE,C3 C6 C8,10µF,0805-NO,3, ,,
3,,CAP_CERAMIC_0805MP,C9,10uF,_0805MP,1, ,,
4,,LED0805_NOOUTLINE,CHG0,ORANGE,CHIPLED_0805_NOOUTLINE,1, ,,
5,,LED0805_NOOUTLINE,D2,BLUE,CHIPLED_0805_NOOUTLINE,1, ,,
6,,DIODE-SCHOTTKYSOD-123,D4,MBR120,SOD-123,1, ,,
7,,LED0805_NOOUTLINE,D1 L0,RED,CHIPLED_0805_NOOUTLINE,2, ,,
8,,ATMEGA32U4-MU,IC1,ATMEGA32U4-MU,TQFN44_7MM,1, ,,
9,,HEADER-1X12,JP3,HEADER-1X12,1X12_ROUND,1, ,,
10,,HEADER-1X16ROUND,JP1,HEADER-1X16ROUND,1X16_ROUND,1, ,,
11,,RESISTOR_0603_NOOUT,R4 R5,22,0603-NO,2, ,,
12,,RESISTOR_0603_NOOUT,R2,1K,0603-NO,1, ,,
13,,RESISTOR_0603_NOOUT,R1 R7 R10,2.2K,0603-NO,3, ,,
14,,RESISTOR_0603_NOOUT,R3 R6 R9,100K,0603-NO,3, ,,
15,,RESISTOR_0603_NOOUT,R8,10K\,0603-NO,1, ,,
16,,SPST_TACT-KMR2,SW1,SPST_TACT-KMR2,KMR2,1, ,,
17,,NRF51822_MODULE_MDBT40,U1,MBT40,BLE_MODULE_RAYTAC_MDBT40,1, ,,
18,,MCP73831/2,U3,MCP73831T-2ACI/OT,SOT23-5,1, ,,
19,,VREG_SOT23-5,U2,SPX3819-3.3,SOT23-5,1, ,,
20,,CON_JST_PH_2PIN,X1,JSTPH,JSTPH2,1, ,,
21,,USB_MICRO_20329_V2,X3,microUSB,4UCONN_20329_V2,1, ,,
22,,RESONATORSMD,Y1,RESONATORSMD,RESONATOR-SMD,1, ,,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-02_17-08-33
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,22
Component Count:,32 (0 SMD/ 0 THT)
Fitted Components:,32 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,32
