name,url
Contact,https://ja.aliexpress.com/item/4001226417309.html
Housing HY2.0 4P,https://ja.aliexpress.com/item/4000548092029.html
Tube,https://akizukidenshi.com/catalog/g/gP-06789/
Cable Black whtout Band,https://ja.aliexpress.com/item/4000455647353.html
