Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,REV
1,,CAP_CERAMIC0603_NO,C4 C5 C10 C11,1uF,0603-NO,4, ,,
2,,CAP_CERAMIC0805-NOOUTLINE,C1 C2 C3 C6 C7 C8 C9 C12,10uF,0805-NO,8, ,,C
3,,LED0603_NOOUTLINE,CHG0,ORANGE,CHIPLED_0603_NOOUTLINE,1, ,,
4,,STEMMA_I2C_QTRA,CONN1,STEMMA_I2C_QTRA,JST_SH4_RA,1, ,,
5,,DIODE-SCHOTTKYSOD-123,D4,MBR540,SOD-123,1, ,,
6,,LED0603_NOOUTLINE,D3,RED,CHIPLED_0603_NOOUTLINE,1, ,,
7,,DISP_LCD_GENERIC_SPI_1.14IN_240X135_WRAPUNDER,DISP1,DISP_LCD_GENERIC_SPI_1.14IN_240X135_WRAPUNDER,TFT_1.14IN_240X135_WRAPUNDER,1, ,,
8,,BME680,IC2,BME680,BME680,1, ,,
9,,LC709203F/MH,IC1,LC709203F/MH,WLCSP9,1, ,,
10,,HEADER-1X12_MIN,JP3,HEADER-1X12_MIN,1X12_ROUND_MIN,1, ,,
11,,HEADER-1X16_MIN,JP1,HEADER-1X16_MIN,1X16_ROUND_MIN,1, ,,
12,,WS2812B_SK6805_1515,LED1,WS2812B_SK6805_1515,SK6805_1515,1, ,,
13,,MOSFET-NREFLOW,Q1,BSS138,SOT23-R,1, ,,
14,,MOSFET-P,Q3,DMG3415U,SOT23-R,1, ,,
15,,RESISTOR_0603_NOOUT,R11,22,0603-NO,1, ,,
16,,RESISTOR_0603_NOOUT,R1 R2 R4 R5 R8 R10,5.1K,0603-NO,6, ,,
17,,RESISTOR_4PACK,R3,10K,RESPACK_4X0603,1, ,,
18,,RESISTOR_0603_NOOUT,R7 R12,100K,0603-NO,2, ,,
19,,RESISTOR_0603_NOOUT,R17,1Meg,0603-NO,1, ,,
20,,SWITCH_TACT_SMT4.6X2.8,SW1 SW2,KMR2,BTN_KMR2_4.6X2.8,2, ,,
21,,VREG_SOT23-5,U2 U5,AP2112-3.3,SOT23-5,2, ,,
22,,BME280,U4,BME280,BME280,1, ,,
23,,ESP32-S3-MINI-1,U6,ESP32-S3-MINI-1,QFN60_ESP32-S2-MINI-1_EXP,1, ,,
24,,MCP73831/2,U3,MCP73831T-2ACI/OT,SOT23-5,1, ,,
25,,CON_JST_PH_2PIN_MT_BATT,X1,CON_JST_PH_2PIN_MT_BATT,JSTPH2_BATT,1, ,,
26,,USB_C,X3,USB C,USB_C_CUSB31-CFM2AX-01-X,1, ,,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-02_17-08-33
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,26
Component Count:,44 (0 SMD/ 0 THT)
Fitted Components:,44 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,44
