"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"S26,S36,S7,S16,S37,S23,S32,S21,S12,S28,S27,S6,S13,S3,S8,S1,S2,S18,S41,S38,S43,S22,S11,S42,S17,S31,S33";"AYZ0202";27;"DPDT";;;
2;"S35,S15,S14,S20,S24,S29,S25,S10,S39,S44,S45,S40,S9,S5,S34,S19,S30,S4";"TACTILE_SWITCH_SMD";18;"";;;
3;"D12,D15,D18,D21,D16,D10,D17,D11,D33,D34,D46,D45,D41,D6,D42,D36,D5,D28,D52,D29,D39,D53,D35,D47,D22,D27,D4,D30,D24,D40,D9,D23,D51,D54,D3,D48";"LED-0603";36;"GREEN";;;
4;"C66,C51,C21,C27,C38,C62,C70,C53,C25,C36,C37,C20,C49,C18,C52,C58,C14,C69,C1,C11,C57,C44,C50,C7,C28,C60,C6,C59,C45,C5,C22,C30,C17,C29,C10,C26,C67,C54,C19,C61,C13,C2,C35,C12,C68,C41,C33,C4,C46,C3,C34,C65,C43,C42";"0603-CAP";54;"0.1uF";;;
5;"JP13,JP53,JP9,JP117,JP24,JP122,JP118,JP56,JP133,JP121,JP101,JP69,JP42,JP89,JP85,JP88,JP136,JP23,JP71,JP11,JP54,JP70,JP57,JP22,JP86,JP87,JP12,JP102,JP38,JP104,JP120,JP105,JP135,JP37,JP119,JP73,JP41,JP74,JP106,JP10,JP55,JP138,JP25,JP58,JP137,JP90,JP103,JP134,JP26,JP8,JP39,JP21,JP72,JP40";"2X3_SMT_POSTS";54;"";;;
6;"C63,C24,C72,C23,C55,C47,C56,C31,C9,C8,C39,C71,C16,C40,C64,C48,C15,C32";"EIA3216";18;"10uF";;;
7;"JP126,JP48,JP142,JP80,JP32,JP143,JP128,JP31,JP94,JP96,JP111,JP112,JP110,JP47,JP64,JP63,JP15,JP95,JP127,JP144,JP46,JP79,JP78,JP30,JP62,JP16,JP14";"1X02";27;"";;;
8;"R20,R67,R97,R111,R98,R75,R57,R109,R6,R43,R17,R15,R58,R106,R3,R29,R30,R94,R72,R55,R45,R101,R54,R4,R16,R88,R42,R44,R62,R95,R114,R46,R81,R70,R31,R2,R56,R23,R28,R71,R108,R8,R84,R83,R36,R5,R93,R107,R19,R7,R69,R41,R68,R82,R96,R49,R59,R32,R18,R33,R80,R110,R85";"0603-RES";63;"1k";;;
9;"Q7,Q5,Q1,Q8,Q9,Q6,Q2,Q4,Q3";"MSOP8";9;"";;;
10;"D14,D50,D13,D7,D38,D31,D43,D1,D37,D49,D26,D32,D8,D20,D19,D25,D2,D44";"SMA-DIODE";18;"";;;
11;"JP50,JP82,JP98,JP4,JP18,JP114,JP34,JP130,JP66";"USB-MINIB";9;"USB-B";;;
12;"JP77,JP7,JP125,JP44,JP76,JP28,JP60,JP92,JP108,JP124,JP29,JP61,JP140,JP93,JP109,JP141,JP45,JP6";"2X5_NOSILK";18;"M05X2NO_SILK";;;
13;"U27,U2,U15,U9,U21,U45,U51,U39,U33";"SSOP24";9;"TB6612FNG";;;
14;"FID14,FID16,FID4,FID2,FID6,FID3,FID5,FID17,FID18,FID1,FID11,FID13,FID12,FID8,FID7,FID15,FID10,FID9";"MICRO-FIDUCIAL";18;"FIDUCIALUFIDUCIAL";;;
15;"R34,R52,R40,R50,R87,R100,R24,R76,R25,R74,R1,R103,R61,R78,R51,R102,R66,R53,R26,R11,R89,R21,R79,R13,R117,R39,R63,R116,R22,R115,R10,R92,R60,R47,R73,R112,R86,R9,R64,R113,R99,R104,R90,R48,R35,R77,R38,R37,R65,R14,R105,R91,R12,R27";"0603-RES";54;"10k";;;
16;"U11,U47,U41,U29,U23,U35,U4,U17,U53";"SOT23-5";9;"MIC5219 3.3V";;;
17;"STANDOFF19,STANDOFF30,STANDOFF14,STANDOFF20,STANDOFF21,STANDOFF36,STANDOFF4,STANDOFF1,STANDOFF23,STANDOFF26,STANDOFF12,STANDOFF34,STANDOFF24,STANDOFF35,STANDOFF27,STANDOFF3,STANDOFF5,STANDOFF11,STANDOFF6,STANDOFF7,STANDOFF8,STANDOFF32,STANDOFF18,STANDOFF28,STANDOFF33,STANDOFF10,STANDOFF16,STANDOFF29,STANDOFF9,STANDOFF31,STANDOFF13,STANDOFF25,STANDOFF15,STANDOFF17,STANDOFF22,STANDOFF2";"STAND-OFF";36;"STAND-OFF";;;
18;"U54,U24,U48,U36,U30,U42,U12,U6,U18";"SOT353";9;"7408SE";;;
19;"Y5,Y8,Y2,Y3,Y4,Y7,Y9,Y1,Y6";"RESONATOR-SMD";9;"16MHz";;;
20;"JP2,JP52,JP68,JP19,JP35,JP84,JP99,JP116,JP1,JP131,JP132,JP36,JP20,JP83,JP115,JP67,JP51,JP100";"1X03_SMD_RA_FEMALE";18;"1x3 RA Female .1"";;;
21;"F2,F6,F4,F3,F9,F5,F8,F7,F1";"PTC-1206";9;"PTCSMD";;;
22;"MOD8,MOD2,MOD9,MOD4,MOD3,MOD7,MOD6,MOD5,MOD1";"XBEE-SMD";9;"XBEE-1B3";;;
23;"JP27,JP5,JP75,JP123,JP43,JP107,JP139,JP91,JP59";"2X3";9;"AVR_SPI_PRG_6PTH";;;
24;"SFE-LOGO3,SFE-LOGO9,SFE-LOGO1,SFE-LOGO4,SFE-LOGO6,SFE-LOGO5,SFE-LOGO7,SFE-LOGO8,SFE-LOGO2";"SFE-NEW-WEBLOGO";9;"LOGO-SFENEW";;;
25;"U19,U37,U49,U25,U31,U1,U43,U7,U13";"TQFP32-08";9;"ATMEGA328P";;;
26;"U$11,U$15,U$9,U$1,U$5,U$17,U$7,U$3,U$13";"OSHW-LOGO-S";9;"OSHW-LOGOS";;;
27;"U52,U46,U40,U16,U28,U22,U34,U3,U10";"SOT23-5";9;"MIC5219 5V";;;
28;"JP97,JP113,JP49,JP129,JP33,JP17,JP81,JP3,JP65";"POWER_JACK_SMD";9;"5.5x2.1mm Barrel";;;
29;"U5,U20,U44,U14,U26,U8,U50,U32,U38";"SSOP28DB";9;"FT232RLSSOP";;;
30;"E$8,E$7";"FIDUCIAL-1X2";2;"";;;
31;"E$1";"FIDUCIAL-1.5X3";1;"";;;
32;"U$14,U$12,U$4,U$8,U$23,U$6,U$16,U$2,U$10";"REDBOT_LOGO";9;"REDBOT_LOGO";;;
