Ref,Val,Package,PosX,PosY,Rot,Side
"C95","1uF","0402-CAP",110.9091,-73.2536,90.0000,top
"C96","10uF","EIA3216",119.7991,-75.7936,180.0000,top
"C97","4.7uF","0402-CAP",138.0871,-68.1736,-90.0000,top
"C98","1uF","0402-CAP",131.7371,-73.2536,90.0000,top
"C99","10uF","EIA3216",140.6271,-75.7936,180.0000,top
"C100","4.7uF","0402-CAP",158.9151,-68.1736,-90.0000,top
"C101","1uF","0402-CAP",152.5651,-73.2536,90.0000,top
"C102","10uF","EIA3216",161.4551,-75.7936,180.0000,top
"C103","4.7uF","0402-CAP",179.7431,-68.1736,-90.0000,top
"C104","1uF","0402-CAP",173.3931,-73.2536,90.0000,top
"C105","10uF","EIA3216",182.2831,-75.7936,180.0000,top
"C106","4.7uF","0402-CAP",200.5711,-68.1736,-90.0000,top
"C107","1uF","0402-CAP",194.2211,-73.2536,90.0000,top
"C108","10uF","EIA3216",203.1111,-75.7936,180.0000,top
"E$1","","FIDUCIAL-1.5X3",83.9851,-140.5636,0.0000,top
"E$5","","FIDUCIAL-1X2",212.3821,-139.2936,0.0000,top
"E$7","","FIDUCIAL-1X2",212.2551,-70.5866,90.0000,top
"JP1","LOGO-SFESK","SFE-LOGO-FLAME",91.0971,-139.3952,0.0000,top
"JP2","Control","1X05",105.3211,-143.1036,90.0000,top
"JP3","Control","1X05",126.1491,-143.1036,90.0000,top
"JP4","Input","1X05",87.5411,-143.1036,90.0000,top
"JP5","Input","1X05",108.3691,-143.1036,90.0000,top
"JP6","LOGO-SFESK","SFE-LOGO-FLAME",111.9251,-139.3952,0.0000,top
"JP7","Control","1X05",146.9771,-143.1036,90.0000,top
"JP8","Input","1X05",129.1971,-143.1036,90.0000,top
"JP9","LOGO-SFESK","SFE-LOGO-FLAME",132.7531,-139.3952,0.0000,top
"JP10","Control","1X05",167.8051,-143.1036,90.0000,top
"JP11","Input","1X05",150.0251,-143.1036,90.0000,top
"JP12","LOGO-SFESK","SFE-LOGO-FLAME",153.5811,-139.3952,0.0000,top
"JP13","Control","1X05",188.6331,-143.1036,90.0000,top
"JP14","Input","1X05",170.8531,-143.1036,90.0000,top
"JP15","LOGO-SFESK","SFE-LOGO-FLAME",174.4091,-139.3952,0.0000,top
"JP16","Control","1X05",209.4611,-143.1036,90.0000,top
"JP17","Input","1X05",191.6811,-143.1036,90.0000,top
"JP18","LOGO-SFESK","SFE-LOGO-FLAME",195.2371,-139.3952,0.0000,top
"JP19","Control","1X05",105.3211,-129.8956,90.0000,top
"JP20","Input","1X05",87.5411,-129.8956,90.0000,top
"JP21","LOGO-SFESK","SFE-LOGO-FLAME",91.0971,-126.1872,0.0000,top
"JP22","Control","1X05",126.1491,-129.8956,90.0000,top
"JP23","Input","1X05",108.3691,-129.8956,90.0000,top
"JP24","LOGO-SFESK","SFE-LOGO-FLAME",111.9251,-126.1872,0.0000,top
