Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,CAP_CERAMIC0603_NO,C7,1uF,0603-NO,1, ,
2,,CAP_CERAMIC0805-NOOUTLINE,C2 C3 C6 C8,10uF,0805-NO,4, ,
3,,LED0805_NOOUTLINE,CHG0,ORANGE,CHIPLED_0805_NOOUTLINE,1, ,
4,,DIODE-SCHOTTKYSOD-123,D4,MBR120,SOD-123,1, ,
5,,LED0805_NOOUTLINE,D3,RED,CHIPLED_0805_NOOUTLINE,1, ,
6,,CP2104,IC1,CP2104,QFN24_4MM_SMSC,1, ,
7,,HEADER-1X12,JP3,HEADER-1X12,1X12_ROUND,1, ,
8,,HEADER-1X16ROUND,JP1,HEADER-1X16ROUND,1X16_ROUND,1, ,
9,,TRANSISTOR_NPNSOT23-3,Q1 Q2,mmbt2222,SOT23-3,2, ,
10,,RESISTOR_0603_NOOUT,R2 R10,1K,0603-NO,2, ,
11,,RESISTOR_0603MP,R11,1K,_0603MP,1, ,
12,,RESISTOR_0603_NOOUT,R6,4.7K,0603-NO,1, ,
13,,RESISTOR_0603_NOOUT,R1 R3 R4 R7 R9,10K,0603-NO,5, ,
14,,RESISTOR_0603MP,R5,10K,_0603MP,1, ,
15,,RESISTOR_0603_NOOUT,R8,10K\,0603-NO,1, ,
16,,SWITCH_TACT_SMT4.6X2.8,SW2,KMR2,BTN_KMR2_4.6X2.8,1, ,
17,,MCP73831/2,U3,MCP73831T-2ACI/OT,SOT23-5,1, ,
18,,VREG_SOT23-5,U2,SPX3819,SOT23-5,1, ,
19,,USB_MICRO_20329_V2,X4,20329,4UCONN_20329_V2,1, ,
20,,ESP-12E,X2,ESP-12E,ESP-12E,1, ,
21,,CON_JST_PH_2PIN,X1,JSTPH,JSTPH2,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-02_17-08-33
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,21
Component Count:,30 (0 SMD/ 0 THT)
Fitted Components:,30 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,30
