Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,BATTERYHOLDER_2XAAA,BATT1,BATTERYHOLDER_2XAAA,2XAAA,1, ,
2,,CAP_CERAMIC0603_NO,C3,1uF,0603-NO,1, ,
3,,CAP_CERAMIC0805-NOOUTLINE,C1 C2 C4 C5 C6 C7 C8 C9,10uF,0805-NO,8, ,
4,,STEMMA_I2C_QT,CONN1,STEMMA_I2C_QT,JST_SH4,1, ,
5,,ATSAMD21E,IC3,ATSAMD21E,QFN32_5MM,1, ,
6,,MIC_PDM_SPK0415,IC2,MIC_PDM_SPK0415,SPK0415HM4H,1, ,
7,,TPS61023,IC1,TPS61023,SOT563,1, ,
8,,INDUCTORTDK_VLC5045,L1,1uH,INDUCTOR_5X5MM_TDK_VLC5045,1, ,
9,,LED0603_NOOUTLINE,L0,red,CHIPLED_0603_NOOUTLINE,1, ,
10,,WS2812B_4020,LED2 LED3 LED4 LED5 LED6 LED7,WS2812B_4020,WS2812B_4020,6, ,
11,,LED0603_NOOUTLINE,PWR0,green,CHIPLED_0603_NOOUTLINE,1, ,
12,,SWITCH_TACT_SMT4.6X2.8,Q2,reset,BTN_KMR2_4.6X2.8,1, ,
13,,RESISTOR_0603_NOOUT,R5 R6,5.1K,0603-NO,2, ,
14,,RESISTOR_0603_NOOUT,R2 R4,10K,0603-NO,2, ,
15,,RESISTOR_4PACK,R9,10K,RESPACK_4X0603,1, ,
16,,RESISTOR_0603_NOOUT,R7,100K,0603-NO,1, ,
17,,RESISTOR_0603_NOOUT,R3,450K,0603-NO,1, ,
18,,TPTP17R,RST0 SWC0 SWD0,TPTP17R,TP17R,3, ,
19,,SWITCH_DPDTEG1390,SW1,SWITCH_DPDTEG1390,EG1390,1, ,
20,,PHOTOTRANSISTOR_PT26-21C,U2,ALS-PT26-21C,ALS-PT26-21C,1, ,
21,,VREG_SOT23-5,U1,AP2112K-3.3,SOT23-5,1, ,
22,,USB_C,X6,USB C,USB_C_CUSB31-CFM2AX-01-X,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-03_17-21-23
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,22
Component Count:,38 (0 SMD/ 0 THT)
Fitted Components:,38 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,38
