Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,CAP_CERAMIC0603_NO,C1,0.1uF,0603-NO,1, ,
2,,CAP_CERAMIC0805-NOOUTLINE,C2,10uF,0805-NO,1, ,
3,,STEMMA_I2C_QT,CONN3 CONN4,STEMMA_I2C_QT,JST_SH4,2, ,
4,,LED0603_NOOUTLINE,D1,GREEN,CHIPLED_0603_NOOUTLINE,1, ,
5,,MCP4728,IC1,MCP4728,MSOP10,1, ,
6,,HEADER-1X670MIL,JP1 JP2,HEADER-1X670MIL,1X06_ROUND_70,2, ,
7,,RESISTOR_4PACK,R3,4.7K,RESPACK_4X0603,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-03_17-21-22
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,7
Component Count:,9 (0 SMD/ 0 THT)
Fitted Components:,9 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,9
