"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C117,C95,C29,C125,C151,C157,C37,C9,C171,C191,C149,C51,C185,C3,C179,C73,C27,C97,C89,C113,C129,C7,C35,C49,C21,C121,C177,C111,C57,C67,C99,C123,C155,C77,C131,C47,C19,C63,C101,C139,C189,C1,C5,C69,C187,C13,C11,C55,C23,C109,C133,C161,C147,C103,C15,C137,C159,C87,C169,C153,C79,C181,C163,C25,C31,C165,C39,C143,C175,C53,C115,C17,C127,C43,C33,C183,C135,C61,C75,C93,C107,C71,C91,C141,C105,C59,C81,C45,C145,C41,C167,C173,C83,C65,C85,C119";"0603-CAP";96;"0.1uF";;;
2;"C174,C154,C18,C98,C106,C66,C190,C102,C158,C42,C130,C22,C182,C178,C2,C186,C118,C74,C114,C126,C58,C150,C138,C142,C134,C146,C166,C54,C62,C50,C30,C90,C122,C46,C14,C162,C170,C70,C82,C110,C26,C78,C6,C86,C34,C94,C38,C10";"0603-CAP";48;"2.2nF";;;
3;"JP177,JP137,JP47,JP122,JP202,JP176,JP146,JP116,JP42,JP151,JP191,JP182,JP222,JP167,JP237,JP87,JP212,JP157,JP162,JP82,JP31,JP11,JP187,JP211,JP207,JP166,JP12,JP106,JP27,JP132,JP92,JP231,JP72,JP171,JP112,JP32,JP36,JP86,JP96,JP227,JP37,JP7,JP97,JP17,JP172,JP111,JP161,JP197,JP217,JP126,JP107,JP142,JP131,JP21,JP236,JP192,JP136,JP156,JP127,JP77,JP91,JP221,JP1,JP141,JP81,JP71,JP46,JP102,JP57,JP206,JP56,JP152,JP196,JP4,JP62,JP3,JP232,JP186,JP117,JP147,JP41,JP201,JP61,JP76,JP226,JP26,JP101,JP66,JP52,JP22,JP181,JP16,JP51,JP216,JP67,JP121";"STAND-OFF-TIGHT";96;"STAND-OFFTIGHT";;;
4;"JP54,JP173,JP143,JP149,JP74,JP134,JP13,JP34,JP233,JP199,JP238,JP188,JP2,JP154,JP158,JP123,JP108,JP79,JP88,JP93,JP174,JP8,JP64,JP194,JP83,JP29,JP99,JP163,JP153,JP159,JP48,JP23,JP58,JP69,JP193,JP239,JP178,JP24,JP198,JP148,JP209,JP19,JP208,JP204,JP73,JP168,JP129,JP118,JP103,JP18,JP44,JP224,JP119,JP49,JP9,JP169,JP89,JP5,JP203,JP219,JP229,JP94,JP144,JP59,JP39,JP139,JP164,JP43,JP234,JP14,JP63,JP28,JP78,JP179,JP228,JP38,JP213,JP84,JP223,JP114,JP138,JP128,JP189,JP53,JP33,JP124,JP133,JP184,JP68,JP218,JP214,JP183,JP109,JP113,JP98,JP104";"MICRO-FIDUCIAL";96;"FIDUCIALUFIDUCIAL";;;
5;"R4,R43,R37,R85,R77,R16,R84,R91,R28,R56,R47,R94,R22,R60,R65,R23,R6,R78,R14,R70,R5,R50,R62,R45,R46,R36,R73,R80,R41,R34,R52,R61,R9,R11,R82,R48,R76,R58,R29,R39,R51,R2,R79,R35,R25,R33,R64,R87,R40,R54,R67,R55,R83,R81,R68,R1,R89,R19,R96,R66,R63,R88,R13,R10,R20,R92,R93,R74,R31,R57,R24,R8,R69,R32,R26,R7,R49,R71,R44,R17,R53,R30,R18,R86,R27,R15,R75,R59,R90,R38,R42,R21,R12,R95,R3,R72";"0603-RES";96;"10k";;;
6;"U$51,U$123,U$63,U$95,U$83,U$23,U$59,U$31,U$111,U$47,U$87,U$119,U$55,U$179,U$103,U$27,U$151,U$115,U$175,U$19,U$171,U$159,U$71,U$143,U$131,U$167,U$43,U$75,U$183,U$187,U$163,U$155,U$139,U$67,U$79,U$39,U$147,U$2,U$135,U$91,U$7,U$191,U$15,U$107,U$11,U$35,U$99,U$127,U$73,U$105,U$153,U$125,U$5,U$41,U$141,U$49,U$69,U$169,U$77,U$173,U$29,U$157,U$21,U$9,U$37,U$33,U$129,U$61,U$137,U$149,U$185,U$89,U$177,U$117,U$25,U$3,U$93,U$181,U$85,U$121,U$65,U$109,U$13,U$97,U$133,U$81,U$17,U$101,U$113,U$45,U$161,U$57,U$145,U$189,U$53,U$165";"SFE-LOGO-FLAME";96;"";;;
7;"C172,C112,C188,C40,C8,C156,C108,C68,C56,C164,C176,C84,C124,C48,C60,C12,C148,C20,C144,C24,C160,C16,C192,C120,C168,C92,C36,C180,C152,C136,C44,C32,C72,C140,C104,C128,C184,C132,C100,C52,C88,C116,C64,C4,C80,C76,C28,C96";"0603-CAP";48;"10nF";;;
8;"JP225,JP110,JP215,JP130,JP220,JP150,JP230,JP190,JP35,JP40,JP135,JP20,JP240,JP70,JP30,JP170,JP115,JP85,JP15,JP195,JP80,JP105,JP65,JP205,JP165,JP140,JP90,JP10,JP95,JP235,JP185,JP145,JP120,JP210,JP75,JP6,JP25,JP175,JP180,JP155,JP45,JP160,JP55,JP125,JP100,JP60,JP200,JP50";"1X10";48;"M10"";;;
9;"U28,U9,U1,U6,U33,U22,U13,U20,U34,U26,U29,U7,U30,U38,U37,U16,U15,U45,U17,U39,U44,U35,U41,U2,U4,U24,U11,U47,U8,U43,U36,U18,U3,U48,U14,U5,U27,U32,U12,U21,U31,U46,U23,U42,U25,U10,U19,U40";"QFN-24-4MM2";48;"MPU-6050-1";;;
10;"SJ37,SJ4,SJ79,SJ82,SJ28,SJ58,SJ142,SJ40,SJ115,SJ73,SJ124,SJ52,SJ43,SJ7,SJ103,SJ67,SJ94,SJ118,SJ25,SJ46,SJ127,SJ139,SJ22,SJ55,SJ106,SJ133,SJ61,SJ70,SJ136,SJ1,SJ130,SJ121,SJ19,SJ76,SJ13,SJ64,SJ85,SJ109,SJ31,SJ16,SJ49,SJ112,SJ97,SJ91,SJ88,SJ100,SJ34,SJ10";"SJ_3_PASTE2&3";48;"";;;
11;"E$5,E$3,E$2,E$4";"FIDUCIAL-1X2";4;"";;;
12;"E$1,E$6";"FIDUCIAL-1.5X3";2;"";;;
13;"U$48,U$156,U$8,U$188,U$160,U$24,U$92,U$164,U$28,U$108,U$72,U$176,U$44,U$4,U$120,U$88,U$84,U$56,U$148,U$52,U$112,U$184,U$168,U$132,U$104,U$68,U$140,U$40,U$12,U$192,U$16,U$96,U$116,U$36,U$172,U$80,U$100,U$136,U$60,U$76,U$144,U$32,U$124,U$180,U$128,U$20,U$152,U$64";"SFE-NEW-WEB";48;"";;;
14;"SJ12,SJ6,SJ23,SJ18,SJ21,SJ74,SJ44,SJ123,SJ93,SJ137,SJ83,SJ95,SJ117,SJ32,SJ122,SJ110,SJ30,SJ57,SJ27,SJ143,SJ9,SJ99,SJ71,SJ26,SJ72,SJ42,SJ20,SJ15,SJ51,SJ63,SJ132,SJ78,SJ38,SJ98,SJ45,SJ56,SJ54,SJ35,SJ113,SJ66,SJ129,SJ138,SJ2,SJ47,SJ69,SJ128,SJ114,SJ92,SJ116,SJ120,SJ48,SJ101,SJ84,SJ68,SJ141,SJ11,SJ105,SJ90,SJ60,SJ86,SJ41,SJ80,SJ17,SJ14,SJ8,SJ77,SJ3,SJ65,SJ29,SJ5,SJ107,SJ33,SJ126,SJ131,SJ108,SJ53,SJ39,SJ89,SJ111,SJ24,SJ59,SJ62,SJ125,SJ36,SJ144,SJ81,SJ75,SJ102,SJ104,SJ96,SJ50,SJ87,SJ134,SJ135,SJ119,SJ140";"SJ_2S-TRACE";96;"";;;
15;"U$78,U$110,U$118,U$174,U$134,U$86,U$102,U$178,U$74,U$26,U$106,U$154,U$70,U$162,U$54,U$6,U$34,U$62,U$142,U$1,U$42,U$138,U$166,U$170,U$98,U$18,U$130,U$94,U$190,U$38,U$10,U$186,U$90,U$150,U$66,U$114,U$30,U$14,U$22,U$158,U$58,U$146,U$182,U$82,U$50,U$46,U$126,U$122";"OSHW-LOGO-S";48;"OSHW-LOGOS";;;
