Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,CAP_CERAMIC_0805MP,C1,0.1uF,_0805MP,1, ,
2,,HEADER-1X3ROUND,JP1,HEADER-1X3ROUND,1X03_ROUND,1, ,
3,,RESISTOR_0805MP,R1,68K,_0805MP,1, ,
4,,GA1A1S202WP,U1,GA1A1S202WP,GA1A1S202WP,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-03_17-21-22
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,4
Component Count:,4 (0 SMD/ 0 THT)
Fitted Components:,4 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,4
