Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,CAP_CERAMIC0805-NOOUTLINE,C1 C2,0.1uF,0805-NO,2, ,
2,,PINHD-1X6CB,JP3 JP4,PINHD-1X6CB,1X06-CLEANBIG,2, ,
3,,RESISTOR0805_NOOUTLINE,R1,10K,0805-NO,1, ,
4,,TXB0104PWR,U2,TXB0104PWR,TSSOP14,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-03_17-21-23
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,4
Component Count:,6 (0 SMD/ 0 THT)
Fitted Components:,6 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,6
