"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R13,R12";"0402-RES";2;"470";;;
2;"C14,C13,C21,C16,C22,C20,C17,C18,C15,C19";"0402-CAP";10;"100nF";;;
3;"R14,R10,R11,R15,R4,R2,R5,R3,R17,R16";"0402-RES";10;"100k";;;
4;"C23,C24,C10,C12";"0402-CAP";4;"10nF";;;
5;"R8";"0402-RES";1;"330";;;
6;"R9,R6";"0402-RES";2;"20";;;
7;"C11";"0402-CAP";1;"47nF";;;
8;"LED1";"LED-0603";1;"Power";;;
9;"U$4,U$5";"FIDUCIAL-1X2";2;"FIDUCIAL1X2";;;
10;"JP1,JP2";"1X10";2;"M10"";;;
11;"U1";"SOT23-5";1;"3.3V";;;
12;"U$2";"SC70";1;"2.8";;;
13;"U2";"LQFP-48";1;"VS1053";;;
14;"C1,C4,C6";"EIA3216";3;"10uF";;;
15;"C8,C3";"0402-CAP";2;"18pF";;;
16;"C7,C9,C2,C5";"0402-CAP";4;"0.1uF";;;
17;"Q1";"CRYSTAL-SMD-5X3";1;"12.288MHz";;;
18;"R7";"0402-RES";1;"10";;;
19;"JP4";"SJ_2S";1;"";;;
20;"JP3";"1X07";1;"";;;
21;"R1";"0402-RES";1;"1M";;;
22;"U$12";"SC70";1;"1.8";;;
23;"U$6";"SFE-LOGO-FLAME";1;"LOGO-SFESK";;;
24;"U$7";"SFE-NEW-WEBLOGO";1;"LOGO-SFENEW";;;
