Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,10NF/10000PF-50V-10%(0603),C1 C2 C3,10nF,0603-CAP,3, ,
2,,0.1UF-25V(+80/-20%)(0603),C4,0.1uF,0603-CAP,1, ,
3,,FRAME-LETTER,FRAME1,FRAME-LETTER,CREATIVE_COMMONS,1, ,
4,,M06SIP,JP1,M06SIP,1X06,1, ,
5,,OSHW-LOGOS,LOGO2,OSHW-LOGOS,OSHW-LOGO-S,1, ,
6,,SFE_LOGO_FLAME.1_INCH,LOGO1,SFE_LOGO_FLAME.1_INCH,SFE_LOGO_FLAME_.1,1, ,
7,,STAND-OFF,STANDOFF1 STANDOFF2 STANDOFF3 STANDOFF4,STAND-OFF,STAND-OFF,4, ,
8,,ADXL377,U1,ADXL377,LFCSP_LQ-16,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-06_12-55-58
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,8
Component Count:,13 (0 SMD/ 0 THT)
Fitted Components:,13 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,13
