Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,manf#,LCSC#
1,,Antenna_Shield-agroin-rescue,AE1,Antenna_Shield,MOLEX_1661,1, ,,,2337019-1
2,,C-agroin-rescue,C1 C4 C5,0.1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,3, ,,885012207072,
3,,C-agroin-rescue,C3,1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1, ,,GRM21BC80J106KE19L,
4,,C-agroin-rescue,C6 C7,10uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2, ,,GRM21BC80J106KE19L,
5,,CP1-agroin-rescue,C2,470uF,C_Elec_6.3x7.7,1, ,,UUR0G471MCL1GS,
6,,FM4007W-W-agroin-rescue,D1 D2 D3,FM4007W-W,F4007,3, ,,FM4007W-W,
7,,FM4007W-W-agroin-rescue,D4,FM4007W-W,D_SOD-123,1, ,,FM4007W-W,
8,,MBR0520LT-agroin-rescue,D5 D8,MBR120,D_SOD-123,2, ,,MBR120VLSFT3G,
9,,LED_Small-agroin-rescue,D6,ON,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1, ,,AP2012EC,
10,,LED_Small-agroin-rescue,D7,Rx,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1, ,,APT2012SGC,
11,"Generic connector, single row, 01x09, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x09_Female,J2 J3,INPUTS,"TerminalBlock_Phoenix_MKDS-1,5-9-5.08_1x09_P5.08mm_Horizontal",2, ,,TRT-3 (3) TRT-3(3),
12,,Conn_01x04-agroin-rescue,J4,SWD,PinHeader_1x04_P2.54mm_Vertical,1, ,,,
13,,Conn_01x03-agroin-rescue,J5,Serial,PinHeader_1x03_P2.54mm_Vertical,1, ,,,
14,,USB_B-agroin-rescue,J10,USB_B,629105150521,1, ,,629105150521,
15,,Jumper_NC_Small-agroin-rescue,JP1,ADJ,PinHeader_1x02_P2.54mm_Vertical,1, ,,,
16,,MMBT2222A-agroin-rescue,Q1 Q2 Q3,MMBT2222A,SOT-23,3, ,,MMBT2222A,
17,,R_Small-agroin-rescue,R9 R11,120R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2, ,,RMC1/10K1200FTP,
18,,R-agroin-rescue,R3 R6 R8,330R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,3, ,,CRCW08052K20FKEB,
19,,R-agroin-rescue,R2 R5 R10,1K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,3, ,,RC0805FR-071KL,
20,,R-agroin-rescue,R1 R4 R7,10K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,3, ,,RC0402FR-1010KL,
21,,SW_Push-agroin-rescue,SW1,RST,SW_SPST_TL3342,1, ,,,C318889
22,,AP2114H-3.3TRG1-agroin-rescue,U7,AP2114H-3.3TRG1,SOT-223-3_TabPin2,1, ,,AP2114H-3.3TRG1,
23,,ATSAMD21E-agroin-rescue,U1,ATSAMD21E,TQFP-32_7x7mm_P0.8mm,1, ,,ATSAMD21E18A-U,
24,,LM2596_DC-DC-agroin-rescue,U6,LM2596_DC-DC,LM2596DC-DC,1, ,,LM2596_DC-DC,
25,,LTV-817-agroin-rescue,U3 U4 U5,LTV-817,DIP-4_W7.62mm_Socket,3, ,,LTV-817,
26,,RFM95W-868S2-agroin-rescue,U2,RFM95W-915-868,RFM95W,1, ,,RFM95W,
27,,UD2-3NU-agroin-rescue,Y1 Y2 Y3,UD2-3NU,UD2-3NU,3, ,,UD2-3NU,





Project info:
Schematic:,working
Variant:,default
Revision:,1.0
Date:,2020-10-18
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,27
Component Count:,47 (31 SMD/ 16 THT)
Fitted Components:,47 (31 SMD/ 16 THT)
Number of PCBs:,1
Total Components:,47
