Designator,Component,Quantity
"P1,P3",General_Pin_Header_8-pin,2
P2,General_Pin_Header_6-pin,1
P4,General_Pin_Header_10-pin,1
P20,General_Socket_Strip_8-pin_LOW_PROFILE_(<6mm),1
"P203,P205,P204,P202,P201,P200,P101,P102,P103,P206,P207,P208,P209,P210,P211,P212,P213,P214,P215,P216,P217",Mill-Max_0926-1-15-20-75-14-11-0_Pogo_pin,21
