Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,BATTERY,BAT1,3V,BATTCON_12MM_CURVED,1, ,
2,,CAP0402-CAP,C1,22pF,0402-CAP,1, ,
3,,LOGO-SFESK,JP2,LOGO-SFESK,SFE-LOGO-FLAME,1, ,
4,,M07,JP1,M07,1X07,1, ,
5,,RESISTOR0402-RES,R1,10k,0402-RES,1, ,
6,,DS3234,U1,DS3234,DS3234,1, ,
7,,CREATIVE_COMMONS,U$1,CREATIVE_COMMONS,CREATIVE_COMMONS,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-06_12-56-00
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,7
Component Count:,7 (0 SMD/ 0 THT)
Fitted Components:,7 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,7
