Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,CAP_CERAMIC0805-NOOUTLINE,C1,10uF,0805-NO,1, ,
2,,HEADER-1X570MIL,JP1,HEADER-1X570MIL,1X05_ROUND_70,1, ,
3,,RESISTOR0805_NOOUTLINE,R1 R2 R4,10K,0805-NO,3, ,
4,,RESISTOR0805_NOOUTLINE,R3,270K,0805-NO,1, ,
5,,UV_VEML6070,U1,VEML6070,VEML6070,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-03_17-21-23
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,5
Component Count:,7 (0 SMD/ 0 THT)
Fitted Components:,7 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,7
