Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,SJ,A0 A1 A2 A3 A4,SJ,SJ,5, ,
2,,C-USC0805K,C1 C2 C3,0.1uF,C0805K,3, ,
3,,C-USC0805K,C6 C10,10uF,C0805K,2, ,
4,,CPOL-USC,C9,100uF,PANASONIC_C,1, ,
5,,CAP_ELECTROLYTICPANASONIC_C,C4 C5,22uF/16v,PANASONIC_C,2, ,
6,,1X4-CLEANBIG,CN1,1X4-CLEANBIG,1X04-CLEANBIG,1, ,
7,,PINHD-1X8CLEANBIG,D0-7 JP2,PINHD-1X8CLEANBIG,1X08-CLEANBIG,2, ,
8,,TB6612FNG,IC1 IC3,TB6612FNG,SSOP24,2, ,
9,,1X5,J1 J2,1X5,1X05-3.5MM,2, ,
10,,HEADER-1X1070MIL,JP3,HEADER-1X1070MIL,1X10_ROUND70,1, ,
11,,HEADER-1X476MIL,JP1,HEADER-1X476MIL,1X04_ROUND_76,1, ,
12,,LEDCHIP-LED0805,LED1,Green,CHIP-LED0805,1, ,
13,,1X2-3.5MM,MPOWER0 SERPWR0,1X2-3.5MM,1X2-3.5MM,2, ,
14,,JP1E,PWR0,JP1E,JP1,1, ,
15,,IRF?5305R,Q1,IRF?5305R,D-PAK_TO252AA,1, ,
16,,R-US_R0805,R4,1K,R0805,1, ,
17,,R-US_R0805,R1 R2 R3 R5 R6 R7 R8,10k,R0805,7, ,
18,,PINHD-1X3,SERVO1 SERVO2,PINHD-1X3,1X03,2, ,
19,,PCA9685,U2,PCA9685,TSSOP28,1, ,
20,,ARDUINO_R3_ICSP,U$1 U$5,ARDUINO_R3_ICSP,ARDUINOR3_ICSP,2, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-03_17-21-22
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,20
Component Count:,40 (0 SMD/ 0 THT)
Fitted Components:,40 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,40
