Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,PROD_ID
1,,CAP0603-CAP,C8,5.6pF,0603-CAP,1, ,,
2,,0.1UF-25V(+80/-20%)(0603),C2 C10,0.1uF,0603-CAP,2, ,,
3,,1.0UF-16V-10%(0603),C6,1.0uF,0603-CAP,1, ,,
4,,1.0UF-25V-+80/-20(0805),C7,1.0uF,0805,1, ,,
5,,2.2UF-10V-20%(0603),C9,2.2uF,0603-CAP,1, ,,
6,,4.7UF-6.3V-10%(0603)0603,C5,4.7uF,0603-CAP,1, ,,
7,,10UF-6.3V-20%(0603),C1,10uF,0603-CAP,1, ,,
8,,10PF-50V-5%(0603),C3 C4,10PF-50V-5%(0603),0603-CAP,2, ,,
9,,DIODE-SCHOTTKY-BAT20J,D3,DIODE-SCHOTTKY-BAT20J,SOD-323,1, ,,
10,,DIODEBAS16,D5,DIODEBAS16,SOD-323,1, ,,
11,,LED-GREEN0603,D2,GREEN,LED-0603,1, ,,
12,,LED-RED0603,D4,RED,LED-0603,1, ,,
13,,LED-YELLOW0603,D1,YELLOW,LED-0603,1, ,,
14,,ANTENNATRACE,E1,ANTENNATRACE,TRACE_ANTENNA_2.4GHZ_25.7MM,1, ,,
15,,FRAME-LETTER,FRAME1,FRAME-LETTER,CREATIVE_COMMONS,1, ,,
16,,FTDI_BASICPTH,JP4,FTDI_BASICPTH,FTDI_BASIC,1, ,,
17,,I2C_STANDARD,JP5,I2C,1X04,1, ,,
18,,M02JST-PTH-2,JP2,M02JST-PTH-2,JST-2-PTH,1, ,,
19,,M10{dblquote},JP3,M10{dblquote},1X10,1, ,,
20,,USB_MICROB_PLUGCONN-11752,JP1,USB_MICROB_PLUGCONN-11752,USB-B-MICRO-SMD_V03,1, ,,
21,,OSHW-LOGOS,LOGO4,OSHW-LOGOS,OSHW-LOGO-S,1, ,,
22,,SFE_LOGO_FLAME.1_INCH,LOGO3,SFE_LOGO_FLAME.1_INCH,SFE_LOGO_FLAME_.1,1, ,,
23,,SFE_LOGO_NAME.2_INCH,LOGO1,SFE_LOGO_NAME.2_INCH,SFE_LOGO_NAME_.2,1, ,,
24,,MOSFET-PCHANNELDMG2307L,Q1,MOSFET-PCHANNELDMG2307L,SOT23-3,1, ,,
25,,0OHM1/10W5%(0603),R9,0,0603,1, ,,
26,,200OHM1/10W1%(0603),R2 R5 R8 R16,200,0603-RES,4, ,,
27,,1KOHM1/10W1%(0603),R15,1K,0603-RES,1, ,,
28,,2.0KOHM1/10W5%(0603),R4,2.0k,0603-RES,1, ,,
29,,2.2KOHM1/10W1%(0603),R11 R13,2.2k,0603-RES,2, ,,
30,,10KOHM1/10W1%(0603)0603,R3 R6 R7 R17,10K,0603-RES,4, ,,
31,,12KOHM-1/10W-1%(0603),R1,12k,0603-RES,1, ,,
32,,SWITCH-SPDT-SMD-A,S1,SWITCH-SPDT-SMD-A,SWITCH-SPST-SMD-A,1, ,,SWCH-10651
33,,JUMPER-PAD-2-NC_BY_TRACE,SJ1,JUMPER-PAD-2-NC_BY_TRACE,PAD-JUMPER-2-NC_BY_TRACE_YES_SILK,1, ,,
34,,JUMPER-PAD-2-NOYES_SILK,SJ4,JUMPER-PAD-2-NOYES_SILK,PAD-JUMPER-2-NO_YES_SILK,1, ,,
35,,JUMPER-PAD-3-NC_BY_TRACE,SJ2,JUMPER-PAD-3-NC_BY_TRACE,PAD-JUMPER-3-3OF3_NC_BY_TRACE_YES_SILK_FULL_BOX,1, ,,
36,,JUMPER-PTH-2-NC,SJ3,JUMPER-PTH-2-NC,PTH-JUMPER-NC_BOTTOM_NO_SILK,1, ,,
37,,STAND-OFF,STANDOFF1 STANDOFF2 STANDOFF3 STANDOFF4,STAND-OFF,STAND-OFF,4, ,,
38,,AT25SF041-SOIC8,U3,AT25SF041-SOIC8,SO08,1, ,,
39,,ATECC108-MAHDA,U5,ATECC108-MAHDA,UDFN8,1, ,,
40,,ESP8266,U1,ESP8266,QFN32,1, ,,
41,,MCP73831,U2,MCP73831,SOT23-5,1, ,,
42,,TMP1021{colon}1,U6,TMP1021{colon}1,SOT563-2,1, ,,
43,,TSL2561FN,U7,TSL2561FN,FN-6,1, ,,
44,,V_REG_LDOSMD,U4,V_REG_LDOSMD,SOT23-5,1, ,,VREG-12457
45,,CRYSTAL-GROUNDED3.2X2.5,Y1,CRYSTAL-GROUNDED3.2X2.5,CRYSTAL-SMD-3.2X2.5,1, ,,XTAL-12454





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-06_12-56-02
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,49
Component Count:,63 (0 SMD/ 0 THT)
Fitted Components:,57 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,57
