Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,CAP0402-CAP,C1 C2,0.1uF,0402-CAP,2, ,
2,,SparkFun-Aesthetics_LOGO-SFENW2,JP2,LOGO-SFENW2,SFE-NEW-WEB,1, ,
3,,M06SIP,JP1,M06SIP,1X06,1, ,
4,,LOGO-SFESK,LOGO1,LOGO-SFESK,SFE-LOGO-FLAME,1, ,
5,,RESISTOR0402-RES,R1 R2,4.7k,0402-RES,2, ,
6,,STAND-OFF,STANDOFF1 STANDOFF2,STAND-OFF,STAND-OFF,2, ,
7,,BMP085,U1,BMP085,BMP085,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-06_12-56-00
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,7
Component Count:,10 (0 SMD/ 0 THT)
Fitted Components:,10 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,10
