Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,Unpolarized capacitor,C,C3,100nf,C_0603_1608Metric,1, ,~
2,Unpolarized capacitor,C,C1 C2,10uf,C_0805_2012Metric,2, ,~
3,"3-Axis MEMS Accelerometer, 2/4/8/16g range, I2C/SPI, LGA-14",ADXL343,U2,ADXL343,LGA-14_3x5mm_P0.8mm_LayoutBorder1x6y,1, ,https://www.analog.com/media/en/technical-documentation/data-sheets/ADXL343.pdf
4,"600mA low dropout linear regulator, with enable pin, 3.8V-6V input voltage range, 3.3V fixed positive output, SOT-23-5",AP2112K-3.3,U1,AP2112K-3.3,SOT-23-5,1, ,https://www.diodes.com/assets/Datasheets/AP2112.pdf
5,,MODULE-CONN-BRBO-IBBC-SZ01,U3,MODULE-CONN-BRBO-IBBC-SZ01,MODULE-CONN-BRBO-IBBC-SZ01,1, ,oom.lt/MCBI1





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-02_17-08-59
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,5
Component Count:,6 (5 SMD/ 0 THT)
Fitted Components:,6 (5 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,6
