Ref,Val,Package,PosX,PosY,Rot,Side
"JP210","","1X06",142.1511,-53.6956,0.0000,bottom
"JP213","","1X06",170.5991,-63.8556,180.0000,bottom
"JP214","","1X06",157.8991,-53.6956,0.0000,bottom
"JP217","","1X06",186.3471,-63.8556,180.0000,bottom
"JP218","","1X06",173.6471,-53.6956,0.0000,bottom
"JP221","","1X06",202.0951,-63.8556,180.0000,bottom
"JP222","","1X06",189.3951,-53.6956,0.0000,bottom
"LOGO1","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",103.9241,-154.0256,180.0000,bottom
"LOGO2","OSHW-LOGOS","OSHW-LOGO-S",100.4951,-152.2476,-90.0000,bottom
"LOGO3","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",119.6721,-154.0256,180.0000,bottom
"LOGO4","OSHW-LOGOS","OSHW-LOGO-S",116.2431,-152.2476,-90.0000,bottom
"LOGO5","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",135.4201,-154.0256,180.0000,bottom
"LOGO6","OSHW-LOGOS","OSHW-LOGO-S",131.9911,-152.2476,-90.0000,bottom
"LOGO7","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",151.1681,-154.0256,180.0000,bottom
"LOGO8","OSHW-LOGOS","OSHW-LOGO-S",147.7391,-152.2476,-90.0000,bottom
"LOGO9","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",166.9161,-154.0256,180.0000,bottom
"LOGO10","OSHW-LOGOS","OSHW-LOGO-S",163.4871,-152.2476,-90.0000,bottom
"LOGO11","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",182.6641,-154.0256,180.0000,bottom
"LOGO12","OSHW-LOGOS","OSHW-LOGO-S",179.2351,-152.2476,-90.0000,bottom
"LOGO13","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",198.4121,-154.0256,180.0000,bottom
"LOGO14","OSHW-LOGOS","OSHW-LOGO-S",194.9831,-152.2476,-90.0000,bottom
"LOGO15","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",103.9241,-140.8176,180.0000,bottom
"LOGO16","OSHW-LOGOS","OSHW-LOGO-S",100.4951,-139.0396,-90.0000,bottom
"LOGO17","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",119.6721,-140.8176,180.0000,bottom
"LOGO18","OSHW-LOGOS","OSHW-LOGO-S",116.2431,-139.0396,-90.0000,bottom
"LOGO19","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",135.4201,-140.8176,180.0000,bottom
"LOGO20","OSHW-LOGOS","OSHW-LOGO-S",131.9911,-139.0396,-90.0000,bottom
"LOGO21","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",151.1681,-140.8176,180.0000,bottom
"LOGO22","OSHW-LOGOS","OSHW-LOGO-S",147.7391,-139.0396,-90.0000,bottom
"LOGO23","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",166.9161,-140.8176,180.0000,bottom
"LOGO24","OSHW-LOGOS","OSHW-LOGO-S",163.4871,-139.0396,-90.0000,bottom
"LOGO25","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",182.6641,-140.8176,180.0000,bottom
"LOGO26","OSHW-LOGOS","OSHW-LOGO-S",179.2351,-139.0396,-90.0000,bottom
"LOGO27","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",198.4121,-140.8176,180.0000,bottom
"LOGO28","OSHW-LOGOS","OSHW-LOGO-S",194.9831,-139.0396,-90.0000,bottom
"LOGO29","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",103.9241,-127.6096,180.0000,bottom
"LOGO30","OSHW-LOGOS","OSHW-LOGO-S",100.4951,-125.8316,-90.0000,bottom
"LOGO31","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",119.6721,-127.6096,180.0000,bottom
"LOGO32","OSHW-LOGOS","OSHW-LOGO-S",116.2431,-125.8316,-90.0000,bottom
"LOGO33","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",135.4201,-127.6096,180.0000,bottom
"LOGO34","OSHW-LOGOS","OSHW-LOGO-S",131.9911,-125.8316,-90.0000,bottom
"LOGO35","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",151.1681,-127.6096,180.0000,bottom
"LOGO36","OSHW-LOGOS","OSHW-LOGO-S",147.7391,-125.8316,-90.0000,bottom
"LOGO37","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",166.9161,-127.6096,180.0000,bottom
"LOGO38","OSHW-LOGOS","OSHW-LOGO-S",163.4871,-125.8316,-90.0000,bottom
"LOGO39","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",182.6641,-127.6096,180.0000,bottom
"LOGO40","OSHW-LOGOS","OSHW-LOGO-S",179.2351,-125.8316,-90.0000,bottom
"LOGO41","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",198.4121,-127.6096,180.0000,bottom
"LOGO42","OSHW-LOGOS","OSHW-LOGO-S",194.9831,-125.8316,-90.0000,bottom
"LOGO43","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",103.9241,-114.4016,180.0000,bottom
"LOGO44","OSHW-LOGOS","OSHW-LOGO-S",100.4951,-112.6236,-90.0000,bottom
"LOGO45","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",119.6721,-114.4016,180.0000,bottom
"LOGO46","OSHW-LOGOS","OSHW-LOGO-S",116.2431,-112.6236,-90.0000,bottom
"LOGO47","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",135.4201,-114.4016,180.0000,bottom
"LOGO48","OSHW-LOGOS","OSHW-LOGO-S",131.9911,-112.6236,-90.0000,bottom
"LOGO49","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",151.1681,-114.4016,180.0000,bottom
"LOGO50","OSHW-LOGOS","OSHW-LOGO-S",147.7391,-112.6236,-90.0000,bottom
"LOGO51","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",166.9161,-114.4016,180.0000,bottom
"LOGO52","OSHW-LOGOS","OSHW-LOGO-S",163.4871,-112.6236,-90.0000,bottom
"LOGO53","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",182.6641,-114.4016,180.0000,bottom
"LOGO54","OSHW-LOGOS","OSHW-LOGO-S",179.2351,-112.6236,-90.0000,bottom
"LOGO55","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",198.4121,-114.4016,180.0000,bottom
