Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,M06SIP,JP1 JP2,M06SIP,1X06,2, ,
2,,OSHW-LOGOS,LOGO2,OSHW-LOGOS,OSHW-LOGO-S,1, ,
3,,SFE_LOGO_FLAME.1_INCH,LOGO1,SFE_LOGO_FLAME.1_INCH,SFE_LOGO_FLAME_.1,1, ,
4,,MOSFET-NCHANNELSMD,Q1 Q2 Q3 Q4,MOSFET-NCHANNELSMD,SOT23-3,4, ,
5,,RESISTOR0603-RES,R1 R2 R3 R4 R5 R6 R7 R10,10K,0603-RES,8, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-06_12-56-05
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,5
Component Count:,16 (0 SMD/ 0 THT)
Fitted Components:,16 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,16
