Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,CAP_CERAMIC0805-NOOUTLINE,C1 C2,0.1uF,0805-NO,2, ,
2,,PINHD-1X3CB,JP2,PINHD-1X3CB,1X03-CLEANBIG,1, ,
3,,RESISTOR0805_NOOUTLINE,R3,1K,0805-NO,1, ,
4,,RESISTOR0805_NOOUTLINE,R2,3.3K,0805-NO,1, ,
5,,RESISTOR0805_NOOUTLINE,R1,1M,0805-NO,1, ,
6,,UV_GUVA-S12SD,U2,GUVA-S12SD,GUVA-S12SD,1, ,
7,,OPAMP_SINGLESOT235,U1,MCP6001,SOT23-5,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-03_17-21-22
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,7
Component Count:,8 (0 SMD/ 0 THT)
Fitted Components:,8 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,8
