Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,CAP_CERAMIC0805-NOOUTLINE,C1,10uF,0805-NO,1, ,
2,,HEADER-1X770MIL,JP1,HEADER-1X770MIL,1X07_ROUND_70,1, ,
3,,RESISTOR0805_NOOUTLINE,R1 R3 R4 R5,10K,0805-NO,4, ,
4,,RESISTOR_0805MP,R2,10K,_0805MP,1, ,
5,,HDC1008,U1,HDC1008,DSBGA8_HDC1008,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-03_17-21-22
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,5
Component Count:,8 (0 SMD/ 0 THT)
Fitted Components:,8 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,8
