Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,HEADER-1X876MIL,JP1,HEADER-1X876MIL,1X08_ROUND_76,1, ,
2,,RESISTOR_0603_NOOUT,R1 R2,5.1K,0603-NO,2, ,
3,,USB_C,X1,USB_C,USB_C_CUSB31-CFM2AX-01-X,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-03_17-21-23
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,3
Component Count:,4 (0 SMD/ 0 THT)
Fitted Components:,4 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,4
