Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,LCSC#,Proveedor,manf#
1,Single-cell battery,Battery_Cell,BT1,Battery_Cell,PinHeader_1x02_P2.54mm_Vertical,1, ,~,,,-
2,"Unpolarized capacitor, small symbol",C_Small,C1 C2,0.1uF,C_0402_1005Metric,2, ,https://datasheet.lcsc.com/lcsc/1810101813_YAGEO-CC0805KRX7R9BB104_C49678.pdf,C2171572,LCSC,GRM022R61A104ME01L
3,"Unpolarized capacitor, small symbol",C_Small,C3 C4 C17 C18,10uF,C_0402_1005Metric,4, ,~https://datasheet.lcsc.com/lcsc/1811021421_Samsung-Electro-Mechanics-CL10A106MP8NNNC_C85713.pdf,C315248,LCSC,CL05A106MP5NUNC
4,Light emitting diode,LED,D4,CHG,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1, ,https://www.mouser.mx/datasheet/2/445/150080RS75000-1714740.pdf,C130114,LCSC,D-R080508L3-KS2
5,"40V 3A Schottky Barrier Rectifier Diode, DO-201AD",MBR340,D1,MBR120,D_SOD-123F,1, ,http://www.onsemi.com/pub_link/Collateral/MBR340-D.PDF,C130880,LCSC,MBR120LSF
6,Light emitting diode,LED,D3,Status,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1, ,https://www.mouser.mx/datasheet/2/445/150080VS75000-1714385.pdf,C205442,LCSC,150080GS75000
7,"Fuse, small symbol",Fuse_Small,F1,0.5A,Fuse_0603_1608Metric,1, ,https://datasheet.lcsc.com/lcsc/1809211126_Shenzhen-JDT-Fuse-JFC0603-0500FS_C136327.pdf,C136327,LCSC,JFC0603-0500FS
8,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x02_Female,J1,Coil,PinHeader_1x02_P2.54mm_Vertical,1, ,~,,,-
9,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x04_Female,J2,SWD,PinHeader_1x04_P2.54mm_Vertical,1, ,~,,,-
10,"Jumper, 2-pole, open",Jumper_2_Open,JP1,boot,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1, ,~,,,
11,USB 2.0-only Type-C Plug connector,USB_C_Plug_USB2.0,P1,USB_C_Plug_USB2.0,C393939,1, ,https://www.usb.org/sites/default/files/documents/usb_type-c.zip,C2987386,LCSC,USB4105-GF-A
12,"P-MOSFET transistor, gate/source/drain",Q_PMOS_GSD,Q1,DMG3415U-7,SOT-23,1, ,https://www.mouser.mx/datasheet/2/115/ds31735-64958.pdf,C96616,LCSC,DMG3415UQ-7
13,Resistor,R,R7,180R,R_0402_1005Metric,1, ,https://www.mouser.mx/datasheet/2/219/RK73B-1825463.pdf,C138045,LCSC,ERJ-2RKF1800X
14,Resistor,R,R10,470,R_0402_1005Metric,1, ,https://www.mouser.mx/datasheet/2/447/PYu_RC_Group_51_RoHS_L_11-1984063.pdf,C114877,LCSC,RC0402FR-07470RL
15,"Resistor, small symbol",R_Small,R2 R3 R9,5.1k,R_0402_1005Metric,3, ,https://datasheet.lcsc.com/lcsc/1810170519_PANASONIC-ERJ3RBD5101V_C191782.pdf,C317922,LCSC,HP02WAF2002TCE
16,"Resistor, small symbol",R_Small,R1,20K,R_0402_1005Metric,1, ,https://www.mouser.mx/datasheet/2/54/cr-1858361.pdf,C2759509,LCSC,ERJ-H2RD2002X
17,"Resistor, small symbol",R_Small,R11,100K,R_0402_1005Metric,1, ,https://datasheet.lcsc.com/lcsc/1811151133_Walsin-Tech-Corp-WR06X104JTL_C163843.pdf,C192169,LCSC,ERJ-2RKF1003X
18,Single Pole Single Throw (SPST) switch,SW_SPST,SW1,ON,SW-SMD_SSSS811101,1, ,https://datasheet.lcsc.com/lcsc/1808041445_ALPSALPINE-SSSS811101_C109335.pdf,C109335,LCSC,SSSS811101
19,"Push button switch, generic, two pins",SW_Push,SW5,RESET,SW_SPST_TL3342,1, ,https://www.mouser.mx/datasheet/2/140/TL3342-2065746.pdf,C318889,LCSC,TL3342F450QG
20,"Push button switch, generic, two pins",SW_Push,SW3,S1,SW_SPST_TL3342,1, ,https://datasheet.lcsc.com/lcsc/2205161616_E-Switch-TL3342F450QG_C2886897.pdf,C318889,LCSC,TL3342F450QG
21,"Switch, dual pole double throw, separate symbols",SW_DPDT_x2,SW4,SOURCE MAG,SW-SMD_SSSS811101,1, ,https://datasheet.lcsc.com/lcsc/1808041445_ALPSALPINE-SSSS811101_C109335.pdf,C109335,LCSC,SSSS811101
22,,AP2112K-3.3-Regulator_Linear,U2,AP2112K-3.3,SOT-23-5,1, ,https://www.diodes.com/assets/Datasheets/AP2112.pdf,C47773,LCSC,RT9013-33GB
23,,CH552G,U1,CH552G,SOP-16_4.55x10.3mm_P1.27mm,1, ,https://datasheet.lcsc.com/lcsc/2008191734_WCH-Jiangsu-Qin-Heng-CH552G_C111292.pdf,C111292,LCSC,CH552G
24,"Single cell, Li-Ion/Li-Po charge management controller, 4.20V, Tri-State Status Output, in SOT23-5 package",MCP73831-2-OT,U5,MCP73831,SOT-23-5,1, ,http://ww1.microchip.com/downloads/en/DeviceDoc/20001984g.pdf,C424093,LCSC,MCP73831T-2ACI/OT
25,,TC4424-electroniccats,U3,TC4424,SOIC-8_3.9x4.9mm_P1.27mm,1, ,https://www.mouser.mx/datasheet/2/268/21998b-53545.pdf,C44150,LCSC,TC4424AVOA713





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-02_17-08-56
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,25
Component Count:,31 (26 SMD/ 4 THT)
Fitted Components:,31 (26 SMD/ 4 THT)
Number of PCBs:,1
Total Components:,31
