Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,LCSC
1,,CAP_CERAMIC0805-NOOUTLINE,C1 C2 C3 C4 C5 C6 C7 C8 C9,10uF,0805-NO,9, ,,
2,,PICOWBELL_DUALSMT,CB1,PICOWBELL_DUALSMT,PICOWBELL_DUALSMT,1, ,,
3,,STEMMA_I2C_QT,CONN1,STEMMA_I2C_QT,JST_SH4,1, ,,
4,,WS2811-SOP8,IC1,WS2811-SOP8,SO08-SKINNYPADS,1, ,,
5,,PINHD-2X20_SMT,JP1,16x2 LCD,2X20_SMT_MALE,1, ,,
6,,HEADER-1X12OVAL,JP8,HEADER-1X12OVAL,1X12_OVAL,1, ,,
7,,MOSFET-NWIDE,Q3 Q4 Q5,BSS138,SOT23-WIDE,3, ,,
8,,MOSFET-PWIDE,Q1 Q2,DMG34x5,SOT23-WIDE,2, ,,
9,,RESISTOR_0603_NOOUT,R6 R7 R8 R9,27,0603-NO,4, ,,C25190
10,,RESISTOR_0603_NOOUT,R1 R2 R3 R4 R5,10K,0603-NO,5, ,,
11,,SPEAKER/PS12,SP1,SPEAKER/PS12,PS12,1, ,,
12,,SWITCH_TACT_SMT_12MM,SW1,12mm SMT,B3F-40XX-SMT,1, ,,
13,,SWITCH_DPDTEG1390,SW2,DPDT SLIDE,EG1390,1, ,,C318999
14,,DISP_LCD_ST7789_1.9IN_SS,TFT1,DISP_LCD_ST7789_1.9IN_SS,TFT_1.9IN_170X320_30P_SS,1, ,,
15,,TRIMPOTTC33X-2,VR1,10K Trimmer,TRIMPOT_BOURNS_TC33X-2,1, ,,
16,,MICROSD,X2,MicroSD,MICROSD,1, ,,
17,,TESTER_PROGCABLE_FLIP,X3,TESTER_PROGCABLE_FLIP,FPC_0.5MM_18PIN,1, ,,
18,,USB_TYPEA_SMT,X1,USB A,USB_HOST-SMT,1, ,,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-03_17-21-23
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,18
Component Count:,36 (0 SMD/ 0 THT)
Fitted Components:,36 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,36
