Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,CAP_CERAMIC0603_NO,C2,0.1uF,0603-NO,1, ,
2,,CAP_CERAMIC0805-NOOUTLINE,C1,10uF,0805-NO,1, ,
3,,HEADER-1X970MIL,JP1,HEADER-1X970MIL,1X09_ROUND_70,1, ,
4,,RESISTOR_4PACK,R1 R2,47K,RESPACK_4X0603,2, ,
5,,MICROSD,X1,microSD,MICROSD,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-03_17-21-22
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,5
Component Count:,6 (0 SMD/ 0 THT)
Fitted Components:,6 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,6
