Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,REV
1,,TPTP15SQ,BUSY0,TPTP15SQ,TP15SQ,1, ,,
2,,CAP_CERAMIC0805_10MGAP,C1,1uF,0805_10MGAP,1, ,,A
3,,CAP_CERAMIC0805-NOOUTLINE,C16 C24,1uF,0805-NO,2, ,,
4,,CAP_CERAMIC0805-NOOUTLINE,C21,10µF,0805-NO,1, ,,
5,,CAP_CERAMIC0805-NOOUTLINE,C15,10uF/10V+,0805-NO,1, ,,
6,,CAP_CERAMIC0805-NOOUTLINE,C5,10uF/25V,0805-NO,1, ,,
7,,CAP_CERAMIC0805-NOOUTLINE,C2 C6,1uF/10V,0805-NO,2, ,,
8,,CAP_CERAMIC0805-NOOUTLINE,C3 C4 C22 C23,1uF/25V,0805-NO,4, ,,
9,,DIODESOD-323F,D4,1N4148,SOD-323F,1, ,,
10,,DIODE-SCHOTTKYSOD-123,D1 D2 D3,MBR0530,SOD-123,3, ,,
11,,EINK_24PIN_CONNECTOR,EINK1,EINK_24PIN_CONNECTOR,EINK_24PIN,1, ,,
12,,AXP083-SAG,IC5,AXP803,SOT23,1, ,,
13,,HEADER-1X10ROUND,JP2,HEADER-1X10ROUND,1X10_ROUND,1, ,,
14,,HEADER-1X16ROUND,JP1,HEADER-1X16ROUND,1X16_ROUND,1, ,,
15,,HEADER-1X2ROUND,JP3,HEADER-1X2ROUND,1X02_ROUND,1, ,,
16,,INDUCTORNR401,L1,10uH,INDUCTOR_4X4MM_NR401,1, ,,
17,,FEATHERWING_NOHOLES,MS1,FEATHERWING_NOHOLES,FEATHERWING_NOHOLES,1, ,,
18,,IRLML2060TRPBF,Q5,IRLML2060TRPBF,SOT23-3,1, ,,
19,,RESISTOR0805_10MGAP,R4,.47ohm,0805_10MGAP,1, ,,
20,,RESISTOR_0603_NOOUT,R1 R6 R7 R8,100K,0603-NO,4, ,,
21,,SWITCH_TACT_SMT4.6X2.8,SW1,6mm SMT,BTN_KMR2_4.6X2.8,1, ,,
22,,SRAM_SPI_SOIC8,U4,23K256-I/SN,SOIC8_150MIL,1, ,,
23,,MICROSD,X1,MICROSD,MICROSD,1, ,,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-02_17-08-33
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,23
Component Count:,33 (0 SMD/ 0 THT)
Fitted Components:,33 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,33
