"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R6,R9";"0402-RES";2;"20";;;
2;"JP1,JP2";"1X10";2;"M10"";;;
3;"R2,R16,R11,R10,R14,R4,R5,R15,R17,R3";"0402-RES";10;"100k";;;
4;"U$12";"SC70";1;"1.8";;;
5;"C4,C6,C1";"EIA3216";3;"10uF";;;
6;"C16,C13,C14,C22,C20,C21,C15,C18,C17,C19";"0402-CAP";10;"100nF";;;
7;"Q1";"CRYSTAL-SMD-5X3";1;"12.288MHz";;;
8;"U1";"SOT23-5";1;"3.3V";;;
9;"U$4,U$5";"FIDUCIAL-1X2";2;"FIDUCIAL1X2";;;
10;"C2,C5,C9,C7";"0402-CAP";4;"0.1uF";;;
11;"JP3";"1X07";1;"";;;
12;"R1";"0402-RES";1;"1M";;;
13;"R12,R13";"0402-RES";2;"470";;;
14;"LED1";"LED-0603";1;"Power";;;
15;"U$2";"SC70";1;"2.8";;;
16;"JP4";"SJ_2S";1;"";;;
17;"C24,C12,C23,C10";"0402-CAP";4;"10nF";;;
18;"U$6";"SFE-LOGO-FLAME";1;"LOGO-SFESK";;;
19;"C8,C3";"0402-CAP";2;"18pF";;;
20;"U2";"LQFP-48";1;"VS1053";;;
21;"R8";"0402-RES";1;"330";;;
22;"C11";"0402-CAP";1;"47nF";;;
23;"R7";"0402-RES";1;"10";;;
24;"U$7";"SFE-NEW-WEBLOGO";1;"LOGO-SFENEW";;;
