Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,CAP0402,C1 C2 C5,0.1uF,C0402,3, ,
2,,CAP_POL1206,C3,10uF,EIA3216,1, ,
3,,PTCSMD,F1,PTCSMD,PTC-1206,1, ,
4,,M04PTH,JP5,AIN,1X04,1, ,
5,,M04PTH,JP7,AOUT,1X04,1, ,
6,,M04PTH,JP6,DIN,1X04,1, ,
7,,M04PTH,JP8,DOUT,1X04,1, ,
8,,M05,JP9,ISSP,1X05,1, ,
9,,M02PTH,JP2 JP4,M02PTH,1X02,2, ,
10,,M04PTH,JP1 JP3,M04PTH,1X04,2, ,
11,,LED1206,LED2,LED1206,LED-1206,1, ,
12,,LED1206,LED1,Power,LED-1206,1, ,
13,,LED0603,LED4,RX,LED-0603,1, ,
14,,LED0603,LED3,TX,LED-0603,1, ,
15,,RESISTOR0402,R2,330,C0402,1, ,
16,,RESISTOR0402,R1 R3 R4 R5 R6,1K,C0402,5, ,
17,,TAC_SWITCHSMD,S1,TAC_SWITCHSMD,TACTILE_SWITCH_SMD,1, ,
18,,CY8C29466-24SOIC,U1,CY8C29466-24SOIC,SOIC28,1, ,
19,,FT232RL-BASICSSOP,U2,FT232RL-BASICSSOP,SSOP28DB,1, ,
20,,CREATIVE_COMMONS,U$18,CREATIVE_COMMONS,CREATIVE_COMMONS,1, ,
21,,LOGO-SFENEW,U$1,LOGO-SFENEW,SFE-NEW-WEBLOGO,1, ,
22,,STAND-OFF,U$12 U$13 U$14 U$15,STAND-OFF,STAND-OFF,4, ,
23,,USBSMD,X2,USBSMD,USB-MINIB,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-06_12-56-02
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,23
Component Count:,34 (0 SMD/ 0 THT)
Fitted Components:,34 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,34
