"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"E$1";"FIDUCIAL-1.5X3";1;"";;;
2;"JP12,JP54,JP19,JP33,JP9,JP7,JP26,JP4,JP23,JP40,JP37,JP47,JP16,JP44,JP61,JP30,JP51,JP58";"1X08";18;"";;;
3;"LOGO13,LOGO11,LOGO1,LOGO9,LOGO7,LOGO3,LOGO15,LOGO17,LOGO5";"OSHW-LOGO-M";9;"OSHW-LOGOM";;;
4;"C26,C19,C17,C2,C5,C8,C25,C14,C4,C23,C11,C1,C20,C16,C7,C22,C10,C13";"0603-CAP";18;"0.1uF";;;
5;"R5,R6,R3,R9,R2,R1,R8,R7,R4";"0603-RES";9;"1k";;;
6;"JP13,JP41,JP42,JP3,JP21,JP48,JP55,JP28,JP2,JP63,JP14,JP62,JP49,JP27,JP56,JP35,JP34,JP20";"FIDUCIAL-1X2";18;"FIDUCIAL1X2";;;
7;"J5,J7,J4,J6,J8,J1,J2,J9,J3";"2X3-NS";9;"AVR_SPI_PRG_6NS";;;
8;"SJ4,SJ8,SJ9,SJ16,SJ14,SJ11,SJ5,SJ3,SJ7,SJ15,SJ1,SJ17,SJ12,SJ13,SJ18,SJ2,SJ10,SJ6";"SJ_2S";18;"SOLDERJUMPERNC";;;
9;"U5,U17,U20,U26,U23,U1,U8,U14,U11";"MICRO-SD-SOCKET-PP";9;"USD-SOCKETNEW";;;
10;"S6,S4,S5,S1,S9,S3,S8,S2,S7";"TACTILE_SWITCH_SMD";9;"";;;
11;"JP43,JP50,JP8,JP15,JP1,JP29,JP22,JP36,JP57";"SFE_LOGO_NAME_FLAME_.1";9;"SFE_LOGO_NAME_FLAME.1_INCH";;;
12;"U3,U12,U21,U24,U15,U9,U18,U27,U6";"SO016";9;"HEX_CONVERTER";;;
13;"U2,U22,U10,U7,U16,U13,U4,U25,U19";"UNO_R3_SHIELD_NOLABELS";9;"ARDUINO_R3_SHIELDNOLABELS";;;
14;"LED8,LED6,LED1,LED4,LED5,LED3,LED2,LED9,LED7";"LED-0603";9;"Red";;;
15;"JP31,JP38,JP17,JP10,JP24,JP52,JP5,JP59,JP45";"1X10";9;"M10"";;;
16;"C15,C12,C24,C3,C6,C18,C21,C27,C9";"0603-CAP";9;"10uF";;;
17;"JP53,JP11,JP32,JP25,JP60,JP46,JP6,JP39,JP18";"1X06";9;"";;;
18;"E$6,E$8";"FIDUCIAL-1X2";2;"";;;
19;"LOGO2,LOGO4,LOGO14,LOGO6,LOGO10,LOGO18,LOGO16,LOGO8,LOGO12";"SFE_LOGO_FLAME_.6";9;"SFE_LOGO_FLAME.6_INCH";;;
