Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,Grove-I2C-connector,J1 J3,Grove-I2C-connector,NS-Tech_Grove_1x04_P2mm_Vertical,2, ,
2,,mini-bread-board-1x17x2,J2,mini-bread-board-1x17x2,mini-bread-board-1x17x2,1, ,
3,,ESP32-DEVKITC-32D,U1,ESP32-DEVKITC-32D,ESP32-DEVKITC-32D,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-02_17-08-42
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,3
Component Count:,4 (1 SMD/ 3 THT)
Fitted Components:,4 (1 SMD/ 3 THT)
Number of PCBs:,1
Total Components:,4
