Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,REV
1,,CAP_CERAMIC0603_NO,C25 C31,0.1uF,0603-NO,2, ,,
2,,CAP_CERAMIC0603_NO,C12 C23 C24 C27 C28 C29 C32,1uF,0603-NO,7, ,,
3,,CAP_CERAMIC0805-NOOUTLINE,C16 C17 C18 C19 C21 C22 C26 C30 C33,10µF,0805-NO,9, ,,C
4,,LED0805_NOOUTLINE,CHG1,ORANGE,CHIPLED_0805_NOOUTLINE,1, ,,
5,,DIODE-ZENERSOD323,D5 D6,3.6V,SOD-323,2, ,,
6,,DIODE-SCHOTTKYSOD-123,D3,MBR0540,SOD-123,1, ,,
7,,FERRITE-0805NO,FB1,Ferrite,0805-NO,1, ,,
8,,STEMMA_I2C_RASMT,I2C1,STEMMA_I2C_RASMT,JSTPH4,1, ,,
9,,MSA301,IC2,MSA301,LGA12_2X2MM,1, ,,
10,,PAM8301,IC3,PAM8301,SOT23-6,1, ,,
11,,LED0805_NOOUTLINE,L1,RED,CHIPLED_0805_NOOUTLINE,1, ,,
12,,WS2812B_4020,LED1 LED2 LED3 LED4,WS2812B_4020,WS2812B_4020,4, ,,
13,,FEATHERWING_SMTDUALNOHOLES,MS2,FEATHERWING_SMTDUALNOHOLES,FEATHERWING_SMT_NOHOLES,1, ,,
14,,CON_JST_PH_3PIN,NEOPIX1 SENSE1,JST PH 3,JSTPH3,2, ,,
15,,MOSFET-NWIDE,Q4,BSS138,SOT23-WIDE,1, ,,
16,,MOSFET-N_DUAL,Q7,BSS138,SOT363,1, ,,
17,,MOSFET-P,Q5 Q6,DMG3405,SOT23-R,2, ,,
18,,RESISTOR_0603_NOOUT,R23,10,0603-NO,1, ,,
19,,RESISTOR_0603_NOOUT,R11 R17 R18,1K,0603-NO,3, ,,
20,,RESISTOR_0603_NOOUT,R10,2.2K,0603-NO,1, ,,
21,,RESISTOR_0603_NOOUT,R14,4.7K,0603-NO,1, ,,
22,,RESISTOR_0603_NOOUT,R3 R19 R20,10K,0603-NO,3, ,,
23,,RESISTOR_4PACK,R27,10K,RESPACK_4X0603,1, ,,
24,,RESISTOR_0603_NOOUT,R24,47K,0603-NO,1, ,,
25,,RESISTOR_4PACK,R15,100K,RESPACK_4X0603,1, ,,
26,,RESISTOR_0603_NOOUT,R25 R26,100K,0603-NO,2, ,,
27,,RESISTOR_0603_NOOUT,R1 R2 R4 R5,1M,0603-NO,4, ,,
28,,SWITCH_TACT_SMT4.6X2.8,SW3,SPST_TACT-EVQQ2,BTN_KMR2_4.6X2.8,1, ,,
29,,SWITCH_DPDTEG1390,SW1,SWITCH_DPDTEG1390,EG1390,1, ,,
30,,DISP_LCD_GENERIC_SPITFT_VDDIO_1.54_240X240_HANDSOLDER,TFT1,DISP_LCD_GENERIC_SPITFT_VDDIO_1.54_240X240_HANDSOLDER,TFT_1.54IN_240X240_HANDSOLDER,1, ,,
31,,PHOTOTRANSISTOR_PT26-21C,U4,ALS-PT21,ALS-PT26-21C,1, ,,
32,,VREG_SOT23-5,U6,AP2112-3.3,SOT23-5,1, ,,
33,,SPIFLASH_8PIN208MIL,U9,GD25Q64,SOIC8_208MIL,1, ,,
34,,MCP73831/2,U7,MCP73831T-2ACI/OT,SOT23-5,1, ,,
35,,ATSAMD51J,U$63,ATSAMD51J,PQFN64-1,1, ,,
36,,CON_MOLEX_2P,U$59,CON_MOLEX_2P,53398-0271,1, ,,
37,,CON_JST_PH_2PIN,X4,JSTPH,JSTPH2,1, ,,
38,,USB_MICRO_20329_V2,X2,microUSB,4UCONN_20329_V2,1, ,,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-03_17-21-22
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,38
Component Count:,67 (0 SMD/ 0 THT)
Fitted Components:,67 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,67
