"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U$1";"CREATIVE_COMMONS";1;"CREATIVE_COMMONS";;;
2;"JP1";"1X10";1;"M10"";;;
3;"JP5";"1X01";1;"M01PTH";;;
4;"JP4,JP6";"MICRO-FIDUCIAL";2;"FIDUCIALUFIDUCIAL";;;
5;"R10,R9,R11,R12";"0402-RES";4;"330";;;
6;"JP3";"SFE-LOGO-FLAME";1;"LOGO-SFESK";;;
7;"U1";"SPARKFUN_SI470X";1;"SI4703";;;
8;"R3,R8";"0402-RES";2;"4.7k";;;
9;"C4,C3";"0402-CAP";2;"22pF";;;
10;"C7,C6";"0402-CAP";2;"1uF";;;
11;"Y1";"CRYSTAL-32KHZ-SMD";1;"32.768kHz";;;
12;"R1,R2";"0402-RES";2;"10k";;;
13;"L1";"C0402";1;"ferrite";;;
14;"C5";"0402-CAP";1;"4.7pF";;;
15;"C1";"0402-CAP";1;"0.1uF";;;
16;"C2";"0402-CAP";1;"22nF";;;
17;"JP2";"SFE-NEW-WEB";1;"LOGO-SFENW2";;;
18;"U$3";"OSHW-LOGO-S";1;"OSHW-LOGOS";;;
