Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,C-USC0805K,C1 C2 C3 C4 C5 C6 C7 C8,C-USC0805K,C0805K,8, ,
2,,1X4SMT,CN1 CN2,1X4SMT,1X4-SMT,2, ,
3,,WS28115050,LED1 LED2 LED3 LED4 LED5 LED6 LED7 LED8,WS28115050,WS28115050,8, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-03_17-21-23
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,3
Component Count:,18 (0 SMD/ 0 THT)
Fitted Components:,18 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,18
