Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,BATTERY20MM_4LEGS_OVERPASTE,BAT1,20mm coincell,BATTCON_20MM_4LEGS_OVERPASTE,1, ,
2,,CREATIVE_COMMONS,U$6,CREATIVE_COMMONS,CREATIVE_COMMONS,1, ,
3,,LOGO-LPLP,U$5,LOGO-LPLP,LOGO-LILYPAD,1, ,
4,,OSHW-LOGOS,U$7,OSHW-LOGOS,OSHW-LOGO-S,1, ,
5,,SEWTAP6,U$1 U$2 U$3 U$4,SEWTAP6,PETAL-SMALL-2SIDE,4, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-06_12-56-04
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,5
Component Count:,8 (0 SMD/ 0 THT)
Fitted Components:,8 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,8
