"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U4,U8,U12,U20,U19,U11,U15,U7,U1,U16";"UFDFN-20";10;"TXB0108";;;
2;"C16,C21,C23,C8,C17,C22,C18,C10,C12,C6,C2,C20,C1,C14,C7,C3,C19,C13,C9,C4,C24,C15,C25,C5,C11";"0603-CAP";25;"0.1uF";;;
3;"SJ4,SJ5,SJ3,SJ1,SJ2";"PAD-JUMPER-3-2OF3_NC_BY_PASTE_YES_SILK_FULL_BOX";5;"GPIO Reference Select";;;
4;"JP7,JP10,JP9,JP3,JP1,JP4,JP2,JP5,JP6,JP8";"1X10";10;"M10"";;;
5;"LOGO20,LOGO4,LOGO12,LOGO8,LOGO16,LOGO6,LOGO14,LOGO18,LOGO3,LOGO10";"SFE_LOGO_NAME_FLAME_.1";10;"SFE_LOGO_NAME_FLAME.1_INCH";;;
6;"@HOLE17,@HOLE11,@HOLE16,@HOLE13,@HOLE2,@HOLE15,@HOLE9,@HOLE7,@HOLE19,@HOLE12,@HOLE5,@HOLE14,@HOLE0,@HOLE18,@HOLE10,@HOLE6,@HOLE8,@HOLE4,@HOLE3,@HOLE1";"";20;"";;;
7;"FID9,FID6,FID5,FID13,FID18,FID17,FID10,FID1,FID14,FID2,FID19,FID15,FID7,FID3,FID20,FID16,FID11,FID4,FID12,FID8";"FIDUCIAL-1X2";20;"FIDUCIAL1X2";;;
8;"LOGO19,LOGO1,LOGO11,LOGO7,LOGO15,LOGO17,LOGO2,LOGO9,LOGO13,LOGO5";"OSHW-LOGO-S";10;"OSHW-LOGOS";;;
9;"E$5,E$4,E$6,E$3";"FIDUCIAL-1X2";4;"";;;
10;"E$1,E$2";"FIDUCIAL-1.5X3";2;"";;;
11;"U14,U18,U10,U3,U6";"DF40C-70DP-0.4(51)";5;"EDISON_CONNECTOR_FULLHEADER";;;
12;"U9,U13,U2,U5,U17";"EDISON_DAUGHTER";5;"EDISON_CONNECTOR_FULLMOUNTING_HOLES";;;
