Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,RCL_C-USC0805K,C1 C2 C3 C4 C5 C6 C7 C9 C10 C11 C12 C13 C14 C15 C17 C18 C19 C20 C21 C22 C23 C25 C26 C27 C28 C29 C30 C31 C33 C34 C35 C36 C37 C38 C39 C41 C42 C43 C44 C45 C46 C47 C49 C50 C51 C52 C53 C54 C55 C57 C58 C59 C60 C61 C62 C63,RCL_C-USC0805K,RCL_C0805K,56, ,
2,,M03PTH,JP1 JP2,M03PTH,1X03,2, ,
3,,WS28115050,LED1 LED2 LED3 LED4 LED5 LED6 LED7 LED8 LED9 LED10 LED11 LED12 LED13 LED14 LED15 LED16 LED17 LED18 LED19 LED20 LED21 LED22 LED23 LED24 LED25 LED26 LED27 LED28 LED29 LED30 LED31 LED32 LED33 LED34 LED35 LED36 LED37 LED38 LED39 LED40 LED41 LED42 LED43 LED44 LED45 LED46 LED47 LED48 LED49 LED50 LED51 LED52 LED53 LED54 LED55 LED56 LED57 LED58 LED59 LED60 LED61 LED62 LED63 LED64,WS28115050,WS28115050,64, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-03_17-21-22
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,3
Component Count:,122 (0 SMD/ 0 THT)
Fitted Components:,122 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,122
