Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,CAP_CERAMIC0805-NOOUTLINE,C5,10pF,0805-NO,1, ,
2,,CAP_CERAMIC0805-NOOUTLINE,C2,33pF,0805-NO,1, ,
3,,CAP_CERAMIC0603_NO,C7 C14,1uF,0603-NO,2, ,
4,,CAP_CERAMIC_0805MP,C1 C9,10uF,_0805MP,2, ,
5,,CAP_CERAMIC0805-NOOUTLINE,C3 C6 C8,10µF,0805-NO,3, ,
6,,C-USC1210,C4,100uF,C1210,1, ,
7,,LED0805_NOOUTLINE,CHG0,ORANGE,CHIPLED_0805_NOOUTLINE,1, ,
8,,DIODESOD-323,D1 D3 D7 D9,1N4148,SOD-323,4, ,
9,,DIODE-SCHOTTKYSOD-123,D4,MBR120,SOD-123,1, ,
10,,DIODE-ZENERSOD123,D5,MMSZ5231BT1G,SOD-123,1, ,
11,,TVSARRAY_5LANE,D2,SMF05C,SOT363,1, ,
12,,ATMEGA32U4-MU,IC1,ATMEGA32U4-MU,TQFN44_7MM,1, ,
13,,HEADER-1X12,JP3,HEADER-1X12,1X12_ROUND,1, ,
14,,HEADER-1X16ROUND,JP1,HEADER-1X16ROUND,1X16_ROUND,1, ,
15,,LED0805_NOOUTLINE,L0,RED,CHIPLED_0805_NOOUTLINE,1, ,
16,,LED0805_NOOUTLINE,NETSTAT0,BLUE,CHIPLED_0805_NOOUTLINE,1, ,
17,,LED0805_NOOUTLINE,PWRSTAT0,GREEN,CHIPLED_0805_NOOUTLINE,1, ,
18,,RESISTOR_0603_NOOUT,R4 R5,22,0603-NO,2, ,
19,,RESISTOR_0603_NOOUT,R1 R2 R3,1K,0603-NO,3, ,
20,,RESISTOR_0603_NOOUT,R7 R8,2.2K,0603-NO,2, ,
21,,RESISTOR_0603_NOOUT,R6,100k,0603-NO,1, ,
22,,SPST_TACT-KMR2,SW1,SPST_TACT-KMR2,KMR2,1, ,
23,,VREG_SOT23-5,U2,AP2112-3.3K,SOT23-5,1, ,
24,,MCP73831/2,U3,MCP73831T-2ACI/OT,SOT23-5,1, ,
25,,GSM_SIM800L,U1,SIM800H/L,SIM800L,1, ,
26,,SIM_MICRO,X2,4UCON 20217,4UCONN_20217,1, ,
27,,87758-0216,X5 X6,87758-0216,87758-0216,2, ,
28,,ANTENNA_JOHANSON_2450AT18B100,X7,ANT_2450AT18B100,ANT_2450AT18B100,1, ,
29,,CON_JST_PH_2PIN,X1,JSTPH,JSTPH2,1, ,
30,,USB_MICRO_20329_V2,X3,microUSB,4UCONN_20329_V2,1, ,
31,,ANTENNA_U.FL,X4,uFL,U.FL,1, ,
32,,RESONATORSMD,Y1,RESONATORSMD,RESONATOR-SMD,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-02_17-08-33
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,33
Component Count:,45 (0 SMD/ 0 THT)
Fitted Components:,44 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,44
