"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C3,C4,C10";"0603-NO";3;"0.1uF";;;
2;"L1";"_0805MP";1;"DNP";;;
3;"U$14";"NRF52840_TOP";1;"";;;
4;"D4";"CHIPLED_0805_NOOUTLINE";1;"BLUE";;;
5;"R2,R3,R5";"0603-NO";3;"1K";;;
6;"C6,C5,C9,C8,C7";"0805-NO";5;"10uF";;;
7;"Q3";"SOT23-R";1;"DMG2305";;;
8;"D3";"CHIPLED_0805_NOOUTLINE";1;"ORANGE";;;
9;"U3";"SOT23-5";1;"MCP73831T-2ACI/OT";;;
10;"X3";"JSTPH2";1;"JSTPH";;;
11;"SW1,SW2";"BTN_KMR2_4.6X2.8";2;"KMR2";;;
12;"IC2";"USON8";1;"GD25Q16";;;
13;"X1";"4UCONN_20329_V2";1;"4u20329";;;
14;"R12";"RESPACK_4X0603";1;"100K";;;
15;"C2,C1";"0603-NO";2;"22pF";;;
16;"D1";"SOD-123";1;"MBR120";;;
17;"R10,R11";"0603-NO";2;"22";;;
18;"R4";"0603-NO";1;"4.7K";;;
19;"MDBT1";"MDBT50";1;"MDBT50";;;
20;"FID1,FID2";"FIDUCIAL_1MM";2;"FIDUCIAL_1MM";;;
21;"Y2";"XTAL3215";1;"32.768";;;
22;"U2";"SOT23-5";1;"AP2112(3.3V)";;;
23;"MS1";"FEATHERWING_NODIM";1;"FEATHERWING_NODIM";;;
24;"X2";"2X05_1.27MM_BOX_POSTS";1;"2x5 0.05"";;;
25;"D2";"CHIPLED_0805_NOOUTLINE";1;"RED";;;
26;"LED1";"LED3535";1;"WS2812B3535";;;
27;"U$10";"PCBFEAT-REV-056";1;"";;;
28;"TP1,D+0,D-0";"TP10R";3;"TPTP10R";;;
29;"SWC0,SWD0";"TP12R";2;"TPTP12R";;;
30;"U$12";"NRF52840_BOT";1;"";;;
