Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,HEADER-1X3ROUND,JP2,HEADER-1X3ROUND,1X03_ROUND,1, ,
2,,RESISTOR_0603_NOOUT,R1,10K,0603-NO,1, ,
3,,LIGHT_ALS-PT19-315C,U1,ALS-PT19-315C,ALS-PT19-315C,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-02_17-08-32
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,3
Component Count:,3 (0 SMD/ 0 THT)
Fitted Components:,3 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,3
