Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,HEADER-1X6OVALWAVE,AD0,20609,1X06_OVALWAVE,1, ,
2,,CAP_CERAMIC0603_NO,C5 C7,22pF,0603-NO,2, ,
3,,CAP_CERAMIC0603_NO,C4 C6 C8 C10 C11 C12 C13 C14 C15 C16 C17,.1u,0603-NO,11, ,
4,,CAP_CERAMIC0805-NOOUTLINE,C2,0.1uF,0805-NO,1, ,
5,,CAP_CERAMIC0603_NO,C9,1uF,0603-NO,1, ,
6,,CAP_CERAMIC0805-NOOUTLINE,C1 C3,10uF,0805-NO,2, ,
7,,DIODE-SCHOTTKYSOD-123,D1,MBR120,SOD-123,1, ,
8,,PTCFUSE-1206,F2,500mA,R1206,1, ,
9,,FERRITE-0805NO,FB2,FERRITE,0805-NO,1, ,
10,,741G125DBV,IC3,741G125DBV,SOT23-5,1, ,
11,,HEADER-2X3,ICSP0,3x2 M,2X03_ROUND_70MIL,1, ,
12,,HEADER-1X10OVALWAVE,IOH0,20611,1X10_OVALWAVE,1, ,
13,,HEADER-1X8OVALWAVE,IOL0 POWER0,20610,1X08_OVALWAVE,2, ,
14,,HEADER-1X1ROUND,JP1,HEADER-1X1ROUND,1X01_ROUND,1, ,
15,,INDUCTOR,L1,10uH,INDUCTOR_1007,1, ,
16,,LED0805_NOOUTLINE,L0,RED,CHIPLED_0805_NOOUTLINE,1, ,
17,,WS2812B3535,LED1,WS2812B3535,LED3535,1, ,
18,,LED0805_NOOUTLINE,ON0,GREEN,CHIPLED_0805_NOOUTLINE,1, ,
19,,CAP_ELECTROLYTICPANASONIC_D,PC2,47uF+/6.3V+,PANASONIC_D,1, ,
20,,CAP_ELECTROLYTICPANASONIC_D,PC1,47uF/25V,PANASONIC_D,1, ,
21,,RESISTOR_0603_NOOUT,R11,330R,0603-NO,1, ,
22,,RESISTOR_4PACK,R2,1K,RESPACK_4X0603,1, ,
23,,RESISTOR_0603_NOOUT,R4,1K,0603-NO,1, ,
24,,RESISTOR_0603_NOOUT,R3 R5 R7,10K,0603-NO,3, ,
25,,RESISTOR_4PACK,R1,100K,RESPACK_4X0603,1, ,
26,,SWITCH_TACT_SMT,RESET0,EVQQ 6mm,EVQ-Q2,1, ,
27,,LED0805_NOOUTLINE,RXLED0 TXLED0,YELLOW,CHIPLED_0805_NOOUTLINE,2, ,
28,,SWITCH_SPDT,SW1,SWITCH_SPDT,SPDT_SMT_SSSS811101,1, ,
29,,PMOSSOT23,T2,DMP3098L-7,SOT-23,1, ,
30,,0297_PMV48XP,TR1,DMP3098L-7,SOT-23,1, ,
31,,LP2985-XXDBVR,U2,LP2985-XXDBVR,SOT23-DBV,1, ,
32,,LM1117SOT223-REFLOW,U1,NCP1117ST50T3G,SOT223-R,1, ,
33,,SPIFLASH_SOIC8208MIL,U3,SPI Flash,SOIC8_208MIL,1, ,
34,,ATSAMD51J,U$1,ATSAMD51J,PQFN64-1,1, ,
35,,DCBARRELPTH,X5,2.1mm,DCJACK_2MM_PTH,1, ,
36,,JTAG-CORTEXBOXPOSTS,X2,"2x5 0.05"" SWD",2X05_1.27MM_BOX_POSTS,1, ,
37,,XTAL-3.2X1.5,X4,32.768,XTAL3215,1, ,
38,,USB_W_SHIELD_V2,X3,USB_W_SHIELD_V2,4UCONN_20329_V2,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-03_17-21-22
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,38
Component Count:,54 (0 SMD/ 0 THT)
Fitted Components:,54 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,54
