Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,Light emitting diode,l5_7297cd_electronic_led_5_mm,L1,l5_electronic_led_5_mm,l5_7297cd_electronic_led_5_mm,1, ,https://github.com/oomlout/oomlout_oomp_v3/parts/electronic_led_5_mm/datasheet.pdf





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-02_17-08-59
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,1
Component Count:,1 (0 SMD/ 0 THT)
Fitted Components:,1 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,1
